Condition	GeneID	Gene_Chr	Gene_Start	Gene_End	N_Traits	N_Traits_indiv	N_Traits_sumrat	N_sig_SNPs	Best_P	Max_r2	Traits
CTL	SORBI_3006G044532	6	31084372	31086231	11	11	0	29	9.34374e-14	0.940262	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3006G044600	6	31236917	31244123	11	11	0	26	9.34374e-14	0.963195	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3007G111800	7	42565325	42572457	11	11	0	70	1.799445e-13	0.692593	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3007G111901	7	42590433	42594890	11	11	0	70	1.799445e-13	0.699153	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3007G112000	7	42598137	42600011	11	11	0	70	1.799445e-13	0.6675	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3007G112100	7	42744075	42748053	11	11	0	29	1.799445e-13	0.662813	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3007G112200	7	42750236	42766819	11	11	0	29	1.799445e-13	0.66926	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3002G148100	2	37812109	37835896	11	11	0	11	2.17296e-13	0.952564	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3002G148166	2	37822220	37822832	11	11	0	11	2.17296e-13	0.917433	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3002G148232	2	37930441	37932373	11	11	0	11	2.17296e-13	0.928983	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3005G208275	5	69483055	69485289	11	11	0	22	5.863299e-13	0.425481	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3001G206100	1	18813072	18826471	11	11	0	40	2.556959e-12	1	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3001G254200	1	28465427	28472547	11	10	1	23	5.712934e-12	0.881346	Sum_AEG_over_PS_log10ratio | TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3004G134900	4	25798505	25813769	11	11	0	11	7.769472e-12	0.95206	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_20:1_22:1) | TG(18:2_22:0_22:3)
CTL	SORBI_3006G040500	6	25522678	25574669	11	11	0	11	1.246008e-10	0.422605	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
CTL	SORBI_3006G049700	6	36626672	36630941	10	10	0	12	6.595057e-15	0.934293	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3006G049900	6	36790405	36795881	10	10	0	12	6.595057e-15	0.939332	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3006G050000	6	36803025	36807791	10	10	0	12	6.595057e-15	0.49184	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3006G050050	6	36893354	36896021	10	10	0	12	6.595057e-15	0.932377	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G105500	8	49760626	49764366	10	10	0	19	4.627337e-14	0.725433	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G105600	8	49771416	49773467	10	10	0	19	4.627337e-14	0.879194	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G105800	8	49839493	49844969	10	10	0	19	4.627337e-14	0.862789	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G105850	8	49873777	49874654	10	10	0	19	4.627337e-14	0.810974	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G105900	8	49873779	49877757	10	10	0	19	4.627337e-14	0.810974	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G106200	8	49976166	49984597	10	10	0	19	4.627337e-14	0.729909	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G106301	8	50023248	50024607	10	10	0	19	4.627337e-14	0.607813	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G106500	8	50133783	50134613	10	10	0	13	4.627337e-14	0.597778	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G106550	8	50142779	50144253	10	10	0	13	4.627337e-14	0.629124	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131200	8	55707544	55714682	10	10	0	10	6.204077e-14	0.587348	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131300	8	55716132	55718008	10	10	0	10	6.204077e-14	0.522406	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131400	8	55724538	55727053	10	10	0	10	6.204077e-14	0.42887	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131500	8	55748818	55755548	10	10	0	10	6.204077e-14	0.789552	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131550	8	55770605	55772020	10	10	0	10	6.204077e-14	0.78927	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131601	8	55772437	55777903	10	10	0	10	6.204077e-14	0.835298	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131651	8	55778011	55779979	10	10	0	10	6.204077e-14	0.802208	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131700	8	55795932	55802267	10	10	0	10	6.204077e-14	0.807721	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131800	8	55801939	55815614	10	10	0	10	6.204077e-14	0.869713	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G131900	8	55816339	55821120	10	10	0	10	6.204077e-14	0.936702	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132000	8	55839853	55843326	10	10	0	10	6.204077e-14	0.885188	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132200	8	55848764	55854063	10	10	0	10	6.204077e-14	0.641393	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132250	8	55858948	55860843	10	10	0	10	6.204077e-14	0.701996	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132300	8	55898550	55902947	10	10	0	10	6.204077e-14	0.623157	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132400	8	55905226	55906819	10	10	0	10	6.204077e-14	0.644279	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132500	8	55908329	55913278	10	10	0	10	6.204077e-14	0.651557	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132550	8	55913940	55917987	10	10	0	10	6.204077e-14	0.615576	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132600	8	55920712	55928484	10	10	0	10	6.204077e-14	0.658875	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132700	8	55932919	55936935	10	10	0	10	6.204077e-14	0.67161	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132800	8	55943024	55947315	10	10	0	10	6.204077e-14	0.687894	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G132900	8	55948254	55956733	10	10	0	10	6.204077e-14	0.647951	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G133100	8	55967541	55971627	10	10	0	10	6.204077e-14	0.514183	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3008G133200	8	55987061	55988758	10	10	0	10	6.204077e-14	0.400905	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3006G044800	6	31450469	31451300	10	10	0	12	9.34374e-14	0.46985	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3005G086650	5	12041602	12053692	10	10	0	15	1.174296e-13	0.643647	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:0_18:1_20:2) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2)
CTL	SORBI_3006G048775	6	35064177	35066809	10	10	0	23	3.126946e-13	1	TG(16:0_16:0_18:1) | TG(16:0_16:0_20:1) | TG(16:0_18:0_18:2) | TG(16:0_18:1_18:1) | TG(16:0_18:1_18:2) | TG(16:0_18:1_20:0) | TG(16:0_18:1_20:1) | TG(16:1_18:1_18:1) | TG(18:0_18:2_18:2) | TG(18:1_18:2_18:2)
