GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3003G080000	Protein kinase domain-containing protein	OS01G0138300 PROTEIN (PTHR27009:SF97)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);polysaccharide binding(GO:0030247)		membrane(GO:0016020)
SORBI_3004G178600	F-box domain-containing protein	OS01G0152100 PROTEIN (PTHR35828:SF13)				
SORBI_3003G249400	Uncharacterized protein	MYOSIN-G HEAVY CHAIN-LIKE PROTEIN (PTHR36742:SF1)	actin or actin-binding cytoskeletal protein(PC00041)			
SORBI_3005G149700	Tubulin alpha chain	F2J10.10 PROTEIN (PTHR35699:SF1)				
SORBI_3009G119501	Uncharacterized protein					
SORBI_3004G187100	NPH3 domain-containing protein	ROOT PHOTOTROPISM PROTEIN 3 (PTHR32370:SF6)			protein ubiquitination(GO:0016567)	
SORBI_3007G116500	Phospholipid-transporting ATPase	PHOSPHOLIPID-TRANSPORTING ATPASE 8-RELATED (PTHR24092:SF165)	primary active transporter(PC00068)	nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled intramembrane lipid carrier activity(GO:0140326);flippase activity(GO:0140327)	phospholipid transport(GO:0015914);phospholipid translocation(GO:0045332)	endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
SORBI_3001G365400	Uncharacterized protein					
SORBI_3005G026700	Uncharacterized protein					
SORBI_3008G058000	Dynamin-type G domain-containing protein	DYNAMIN-LIKE PROTEIN ARC5 (PTHR11566:SF78)	membrane traffic protein(PC00150)	GTPase activity(GO:0003924);GTP binding(GO:0005525);microtubule binding(GO:0008017);identical protein binding(GO:0042802)	response to gibberellin(GO:0009739)	peroxisome(GO:0005777);cytosol(GO:0005829);chloroplast(GO:0009507);chloroplast outer membrane(GO:0009707)
SORBI_3001G404800	CHCH domain-containing protein	NADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX SUBUNIT 8 (PTHR13344:SF0)	oxidoreductase(PC00176)		mitochondrial electron transport, NADH to ubiquinone(GO:0006120)	mitochondrion(GO:0005739)
SORBI_3009G168500	GDSL esterase_lipase	OS05G0468500 PROTEIN (PTHR45642:SF145)	hydrolase(PC00121)	catalytic activity(GO:0003824);hydrolase activity, acting on ester bonds(GO:0016788);carboxylic ester hydrolase activity(GO:0052689)	lipid biosynthetic process(GO:0008610)	
SORBI_3003G268200	VIP1 protein					
SORBI_3004G020600	Histone-lysine N-methyltransferase	HISTONE-LYSINE N-METHYLTRANSFERASE ATXR6 (PTHR10615:SF175)	histone modifying enzyme(PC00261)	chromatin binding(GO:0003682);transcription coregulator activity(GO:0003712);histone H3K27 methyltransferase activity(GO:0046976);histone H3K27 monomethyltransferase activity(GO:0140953)	regulation of DNA replication(GO:0006275);chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357);regulation of cell cycle(GO:0051726)	nucleus(GO:0005634)
SORBI_3004G128600	Plasma membrane-associated cation-binding protein 1	PLASMA MEMBRANE-ASSOCIATED CATION-BINDING PROTEIN 1 (PTHR38522:SF2)				plasma membrane(GO:0005886)
SORBI_3003G160900	40S ribosomal protein S4	SMALL RIBOSOMAL SUBUNIT PROTEIN ES4 (PTHR11581:SF40)	ribosomal protein(PC00202)	RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);rRNA binding(GO:0019843)	translation(GO:0006412)	ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627)
SORBI_3006G019901	Uncharacterized protein					
SORBI_3004G114200	RING-type domain-containing protein	OS02G0248440 PROTEIN (PTHR22765:SF411)	ubiquitin-protein ligase(PC00234)	ubiquitin protein ligase activity(GO:0061630)	ubiquitin-dependent protein catabolic process(GO:0006511)	
SORBI_3001G398300	Calmodulin-binding protein	EXPRESSED PROTEIN (PTHR33095:SF57)				
SORBI_3003G393100	Structural maintenance of chromosomes protein	STRUCTURAL MAINTENANCE OF CHROMOSOMES PROTEIN 2 (PTHR43941:SF1)		chromatin binding(GO:0003682);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	nuclear division(GO:0000280);mitotic chromosome condensation(GO:0007076);chromosome condensation(GO:0030261);chromosome organization(GO:0051276);nuclear chromosome segregation(GO:0098813)	chromatin(GO:0000785);condensed chromosome(GO:0000793);condensin complex(GO:0000796);nucleus(GO:0005634);chromosome(GO:0005694);nuclear lumen(GO:0031981)
SORBI_3005G077532	Uncharacterized protein					
SORBI_3001G375500	Strictosidine synthase conserved region domain-containing protein	OS08G0175000 PROTEIN (PTHR10426:SF62)		hydrolase activity(GO:0016787)		vacuole(GO:0005773)
SORBI_3010G012500	ATOZI1	OS06G0115100 PROTEIN (PTHR34267:SF16)				
SORBI_3010G241300	EF-hand domain-containing protein	CALCIUM-BINDING PROTEIN CML29-RELATED (PTHR10891:SF840)	calmodulin-related(PC00061)	calcium ion binding(GO:0005509)		organelle(GO:0043226)
SORBI_3003G344700	Ammonium transporter	AMMONIUM TRANSPORTER 2 (PTHR43029:SF38)	transporter(PC00227)	ammonium channel activity(GO:0008519)	ammonium transmembrane transport(GO:0072488)	plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3003G170333	Uncharacterized protein					
SORBI_3009G176700	Transducin_WD40 repeat-like superfamily protein	OS05G0482600 PROTEIN (PTHR31789:SF1)				
SORBI_3009G056300	PHD finger protein ALFIN-LIKE	PHD FINGER PROTEIN ALFIN-LIKE 1 (PTHR12321:SF181)	DNA metabolism protein(PC00009)	histone binding(GO:0042393);metal ion binding(GO:0046872)	chromatin organization(GO:0006325);regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3001G521700	Secreted protein					
SORBI_3010G023200	Uncharacterized protein 131L1.10a	OS06G0133400 PROTEIN (PTHR33641:SF14)				
SORBI_3010G109901	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3003G244200	V-type proton ATPase subunit E	ATPASE H+ TRANSPORTING V1 SUBUNIT E1 (PTHR45715:SF3)		proton-transporting ATPase activity, rotational mechanism(GO:0046961)	proton transmembrane transport(GO:1902600)	proton-transporting two-sector ATPase complex, catalytic domain(GO:0033178)
SORBI_3001G232500	Uncharacterized protein	GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 2 (PTHR33548:SF3)				
SORBI_3005G180000	MADS-box domain-containing protein	MADS TRANSCRIPTION FACTOR (PTHR11945:SF412)	MADS box transcription factor(PC00250)	RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);cis-regulatory region sequence-specific DNA binding(GO:0000987);DNA binding(GO:0003677);protein dimerization activity(GO:0046983)	regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of transcription by RNA polymerase II(GO:0045944)	nucleus(GO:0005634)
SORBI_3001G302000	Dof-type domain-containing protein (Fragment)	GLUTENIN, HIGH MOLECULAR WEIGHT SUBUNIT DX5-LIKE (PTHR47487:SF12)				
SORBI_3001G064700	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR27008:SF589)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)		endoplasmic reticulum membrane(GO:0005789);plasma membrane(GO:0005886)
SORBI_3007G134100	Cyanobacterial aminoacyl-tRNA synthetase CAAD domain-containing protein	OS08G0430600 PROTEIN (PTHR33222:SF26)				thylakoid(GO:0009579);membrane(GO:0016020)
SORBI_3001G251400	Uncharacterized protein					
SORBI_3003G138200	Non-haem dioxygenase N-terminal domain-containing protein	ISOPENICILLIN N SYNTHASE-LIKE FE(2+) 2OG DIOXYGENASE DOMAIN-CONTAINING PROTEIN (PTHR47991:SF227)	oxygenase(PC00177)			
SORBI_3010G262900	Uncharacterized protein	ALTERED INHERITANCE OF MITOCHONDRIA PROTEIN (PTHR34566:SF2)				
SORBI_3003G246500	3'-5' exonuclease domain-containing protein	OS11G0222320 PROTEIN (PTHR13620:SF123)		nucleic acid binding(GO:0003676);3'-5' exonuclease activity(GO:0008408)		nucleus(GO:0005634)
SORBI_3006G018100	Germin-like protein	GERMIN-LIKE PROTEIN 8-3 (PTHR31238:SF38)		manganese ion binding(GO:0030145)		apoplast(GO:0048046)
SORBI_3003G084300	Surfeit locus protein 5	MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 22 (PTHR12434:SF6)	general transcription factor(PC00259)	transcription coregulator activity(GO:0003712)	regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634);mediator complex(GO:0016592)
SORBI_3005G047300	Tubby-like F-box protein	TUBBY-LIKE F-BOX PROTEIN (PTHR16517:SF143)	scaffold/adaptor protein(PC00226)			
SORBI_3004G138750	Uncharacterized protein					
SORBI_3007G028900	Uncharacterized protein	PROTEIN POLLENLESS 3-LIKE 2 (PTHR36326:SF7)				nucleus(GO:0005634)
SORBI_3006G031800	Uncharacterized protein					
SORBI_3004G298100	Plastid ribosomal protein L19	LARGE RIBOSOMAL SUBUNIT PROTEIN BL19CY-RELATED (PTHR15680:SF10)	ribosomal protein(PC00202)	mRNA binding(GO:0003729);structural constituent of ribosome(GO:0003735)	translation(GO:0006412)	ribosome(GO:0005840)
SORBI_3010G020400	Protein phosphatase 2A structural subunit	PROTEIN PHOSPHATASE 2 (FORMERLY 2A), REGULATORY SUBUNIT A, BETA ISOFORM-RELATED (PTHR10648:SF4)	phosphatase modulator(PC00184)	protein phosphatase regulator activity(GO:0019888)		protein phosphatase type 2A complex(GO:0000159);nucleus(GO:0005634);cytoplasm(GO:0005737);protein-containing complex(GO:0032991)
SORBI_3010G143000	Secreted protein					
SORBI_3001G143500	PH domain-containing protein	OS03G0666200 PROTEIN (PTHR22902:SF49)	membrane traffic protein(PC00150)		receptor recycling(GO:0001881);endosome organization(GO:0007032);retrograde transport, endosome to Golgi(GO:0042147)	early endosome(GO:0005769);trans-Golgi network(GO:0005802);cytosol(GO:0005829);recycling endosome(GO:0055037)
SORBI_3002G057050	Pentacotripeptide-repeat region of PRORP domain-containing protein	OS10G0495400 PROTEIN (PTHR47941:SF47)				
SORBI_3002G097900	Rx N-terminal domain-containing protein	RX N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR33377:SF31)				
SORBI_3002G319766	AAA+ ATPase domain-containing protein	AAA+ ATPASE DOMAIN-CONTAINING PROTEIN (PTHR23070:SF89)		ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	response to stress(GO:0006950)	
SORBI_3010G002850	Uncharacterized protein					
SORBI_3003G237201	Uncharacterized protein				gibberellic acid mediated signaling pathway(GO:0009740)	
SORBI_3001G414000	Protein kinase domain-containing protein	OS03G0281500 PROTEIN (PTHR27003:SF65)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3007G083900	TF-B3 domain-containing protein	AP2_ERF AND B3 DOMAIN-CONTAINING TRANSCRIPTION FACTOR (PTHR31140:SF46)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3002G134300	GDSL esterase_lipase	GDSL ESTERASE_LIPASE (PTHR46020:SF26)		hydrolase activity, acting on ester bonds(GO:0016788)		
SORBI_3002G353500	RuvB-like helicase	RUVB-LIKE HELICASE (PTHR11093:SF9)		DNA helicase activity(GO:0003678);ATP binding(GO:0005524);ATP-dependent activity, acting on DNA(GO:0008094);ATP hydrolysis activity(GO:0016887)	box C/D snoRNP assembly(GO:0000492);chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634);Ino80 complex(GO:0031011);NuA4 histone acetyltransferase complex(GO:0035267);R2TP complex(GO:0097255)
SORBI_3006G015900	Thaumatin-like protein	OS04G0165000 PROTEIN (PTHR31048:SF214)				
SORBI_3008G018900	CID domain-containing protein	ENTH_VHS FAMILY PROTEIN (PTHR12460:SF28)	kinase inhibitor(PC00139)	RNA polymerase II complex binding(GO:0000993)	mRNA 3'-end processing(GO:0031124)	nucleus(GO:0005634)
SORBI_3001G198400	DNA mismatch repair proteins mutS family domain-containing protein	DNA MISMATCH REPAIR PROTEIN MUTS, TYPE 2 (PTHR11361:SF151)	DNA metabolism protein(PC00009)	endonuclease activity(GO:0004519);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);mismatched DNA binding(GO:0030983);ATP-dependent DNA damage sensor activity(GO:0140664)	mismatch repair(GO:0006298);negative regulation of DNA recombination(GO:0045910)	
SORBI_3001G230900	Uncharacterized protein	OS10G0456600 PROTEIN (PTHR24073:SF1212)	small GTPase(PC00208)	GTPase activity(GO:0003924);GTP binding(GO:0005525)		cytoplasm(GO:0005737);Golgi apparatus(GO:0005794);plasma membrane(GO:0005886)
SORBI_3006G184200	RING-type domain-containing protein	OS04G0571200 PROTEIN (PTHR46400:SF11)		ubiquitin-protein transferase activity(GO:0004842)	protein ubiquitination(GO:0016567);negative regulation of organ growth(GO:0046621)	
SORBI_3003G103400	RING-type domain-containing protein	OS01G0106800 PROTEIN (PTHR11210:SF45)	ubiquitin-protein ligase(PC00234)	zinc ion binding(GO:0008270);ubiquitin protein ligase activity(GO:0061630);cullin family protein binding(GO:0097602)	ubiquitin-dependent protein catabolic process(GO:0006511);jasmonic acid mediated signaling pathway(GO:0009867);protein ubiquitination(GO:0016567)	ubiquitin ligase complex(GO:0000151);nucleus(GO:0005634);cytoplasm(GO:0005737)
SORBI_3007G089300	Protein kinase domain-containing protein	OS04G0197200 PROTEIN (PTHR27002:SF372)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)	response to abscisic acid(GO:0009737)	membrane(GO:0016020)
SORBI_3007G123200	HMA domain-containing protein	OS08G0403300 PROTEIN (PTHR22814:SF103)		metal ion binding(GO:0046872)		
SORBI_3010G136450	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3006G046100	Uncharacterized protein					
SORBI_3006G106000	Ran guanine nucleotide release factor	RAN GUANINE NUCLEOTIDE RELEASE FACTOR (PTHR15837:SF0)		guanyl-nucleotide exchange factor activity(GO:0005085);small GTPase binding(GO:0031267)		nucleus(GO:0005634)
SORBI_3008G177700	Strictosidine synthase conserved region domain-containing protein	OS08G0175000 PROTEIN (PTHR10426:SF62)		hydrolase activity(GO:0016787)		vacuole(GO:0005773)
SORBI_3001G349700	BHLH domain-containing protein	TRANSCRIPTION FACTOR BHLH145 (PTHR36066:SF2)	basic helix-loop-helix transcription factor(PC00055)	protein dimerization activity(GO:0046983)		
SORBI_3001G271300	Rx N-terminal domain-containing protein	RX N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR33377:SF79)				
SORBI_3002G270200	F-box domain-containing protein	OS09G0525300 PROTEIN (PTHR31960:SF20)				
SORBI_3001G208000	Replication factor A C-terminal domain-containing protein	REPLICATION FACTOR A C-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR23273:SF175)	DNA metabolism protein(PC00009)	damaged DNA binding(GO:0003684);single-stranded telomeric DNA binding(GO:0043047)	double-strand break repair via homologous recombination(GO:0000724);DNA replication(GO:0006260);nucleotide-excision repair(GO:0006289);telomere maintenance via telomerase(GO:0007004)	DNA replication factor A complex(GO:0005662)
SORBI_3009G084950	Uncharacterized protein					
SORBI_3010G085000	Pentacotripeptide-repeat region of PRORP domain-containing protein	OS06G0216400 PROTEIN (PTHR47928:SF37)		RNA binding(GO:0003723)	RNA modification(GO:0009451)	
SORBI_3001G363100	UspA domain-containing protein	USPA DOMAIN-CONTAINING PROTEIN (PTHR31964:SF128)	hydrolase(PC00121)			
SORBI_3001G420700	ENTH domain-containing protein	ASSEMBLY PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR22951:SF13)	vesicle coat protein(PC00235)	phospholipid binding(GO:0005543);1-phosphatidylinositol binding(GO:0005545);phosphatidylinositol-4,5-bisphosphate binding(GO:0005546);clathrin binding(GO:0030276);clathrin heavy chain binding(GO:0032050)	vesicle budding from membrane(GO:0006900);clathrin coat assembly(GO:0048268);clathrin-dependent endocytosis(GO:0072583)	Golgi apparatus(GO:0005794);clathrin-coated pit(GO:0005905);clathrin-coated vesicle(GO:0030136)
SORBI_3002G331900	Bowman-Birk serine protease inhibitors family domain-containing protein					
SORBI_3003G302466	DOG1 domain-containing protein	PROTEIN DOG1-LIKE 1 (PTHR46354:SF7)		sequence-specific DNA binding(GO:0043565)	DNA-templated transcription(GO:0006351)	
SORBI_3004G337800	UDP-glucose:glycoprotein glucosyltransferase	UDP-GLUCOSE:GLYCOPROTEIN GLUCOSYLTRANSFERASE (PTHR11226:SF0)	glycosyltransferase(PC00111)	UDP-glucose:glycoprotein glucosyltransferase activity(GO:0003980)	glycoprotein biosynthetic process(GO:0009101);UDP-glucosylation(GO:0097359)	endoplasmic reticulum(GO:0005783);endoplasmic reticulum lumen(GO:0005788)
SORBI_3001G531900	F-box domain-containing protein	F-BOX DOMAIN-CONTAINING PROTEIN (PTHR39741:SF2)				
SORBI_3009G044100	Pectinesterase inhibitor domain-containing protein	OS05G0149000 PROTEIN (PTHR35357:SF1)		enzyme inhibitor activity(GO:0004857)		
SORBI_3004G331800	Uncharacterized protein	OS02G0797600 PROTEIN (PTHR33670:SF15)	RNA splicing factor(PC00148)		mRNA metabolic process(GO:0016071)	
SORBI_3009G130700	TPM domain-containing protein	UPF0603 PROTEIN YGCG (PTHR30373:SF2)				
SORBI_3003G409150	Uncharacterized protein					
SORBI_3003G082401	Protein kinase domain-containing protein	RECEPTOR SERINE_THREONINE KINASE (PTHR27009:SF128)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3003G264901	RING-type E3 ubiquitin transferase	RING-TYPE DOMAIN-CONTAINING PROTEIN (PTHR22937:SF197)	ubiquitin-protein ligase(PC00234)	ubiquitin protein ligase activity(GO:0061630)		
SORBI_3008G088872	Nuclear pore complex protein NUP1	NUCLEAR PORE COMPLEX PROTEIN NUP1 (PTHR33416:SF16)				
SORBI_3003G208300	Pentacotripeptide-repeat region of PRORP domain-containing protein	OS11G0433600 PROTEIN (PTHR47933:SF12)				
SORBI_3003G196400	Calcineurin B-like protein	CALCINEURIN B-LIKE PROTEIN 10 (PTHR23056:SF26)		calcium ion binding(GO:0005509);kinase binding(GO:0019900)	calcium-mediated signaling(GO:0019722)	membrane(GO:0016020)
SORBI_3007G051800	BHLH domain-containing protein	TRANSCRIPTION FACTOR BHLH6 (PTHR11514:SF108)		DNA-binding transcription factor activity(GO:0003700);protein homodimerization activity(GO:0042803);protein dimerization activity(GO:0046983)	regulation of DNA-templated transcription(GO:0006355);jasmonic acid mediated signaling pathway(GO:0009867);regulation of shoot system development(GO:0048831);phosphate ion homeostasis(GO:0055062);positive regulation of cellular response to phosphate starvation(GO:0080040)	nucleus(GO:0005634);cytoplasm(GO:0005737)
SORBI_3004G031001	Ovule protein					
SORBI_3005G182600	Uncharacterized protein					
SORBI_3008G003300	Uncharacterized protein					
SORBI_3007G150900	CCT domain-containing protein					
SORBI_3002G083266	Cytochrome b5 heme-binding domain-containing protein	CYTOCHROME B5 REDUCTASE 4 (PTHR46237:SF1)	reductase(PC00198)	cytochrome-b5 reductase activity, acting on NAD(P)H(GO:0004128);heme binding(GO:0020037);metal ion binding(GO:0046872)		
SORBI_3005G100250	Uncharacterized protein					
SORBI_3003G220332	Uncharacterized protein					
SORBI_3005G163100	J domain-containing protein	DUF3444 DOMAIN-CONTAINING PROTEIN (PTHR45089:SF4)				endoplasmic reticulum(GO:0005783)
SORBI_3001G477100	Probable purine permease	PURINE PERMEASE-RELATED (PTHR31376:SF61)		purine nucleobase transmembrane transporter activity(GO:0005345);purine nucleoside transmembrane transporter activity(GO:0015211)	purine nucleobase transport(GO:0006863);purine nucleoside transmembrane transport(GO:0015860);purine nucleobase transmembrane transport(GO:1904823)	membrane(GO:0016020)
SORBI_3008G024200	Ribosomal protein L11	OS10G0466200 PROTEIN (PTHR11661:SF41)	ribosomal protein(PC00202)	structural constituent of ribosome(GO:0003735);large ribosomal subunit rRNA binding(GO:0070180)	translation(GO:0006412)	ribosome(GO:0005840);large ribosomal subunit(GO:0015934)
SORBI_3008G054900	Uncharacterized protein	EXPRESSED PROTEIN (PTHR36322:SF6)				
SORBI_3008G026600	NPH3 domain-containing protein	OS12G0117600 PROTEIN (PTHR32370:SF115)			protein ubiquitination(GO:0016567)	
SORBI_3005G070951	Rx N-terminal domain-containing protein (Fragment)	OS04G0105900 PROTEIN (PTHR33377:SF11)				
SORBI_3002G096800	F-box domain-containing protein					
SORBI_3001G444200	DYW domain-containing protein	OS03G0235200 PROTEIN (PTHR24015:SF97)		RNA binding(GO:0003723);zinc ion binding(GO:0008270)	RNA modification(GO:0009451)	
SORBI_3002G235400	Uncharacterized protein					
SORBI_3007G179400	Kinesin motor domain-containing protein	KINESIN-LIKE PROTEIN KIN-7H (PTHR47968:SF40)		nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017)	microtubule-based movement(GO:0007018)	
SORBI_3001G406500	BTB domain-containing protein	OS10G0435900 PROTEIN (PTHR26379:SF382)			protein ubiquitination(GO:0016567)	
SORBI_3002G265166	Ribonuclease T(2)			RNA binding(GO:0003723);ribonuclease T2 activity(GO:0033897)		
SORBI_3001G078500	Uncharacterized protein	PEPTIDASE I, PUTATIVE-RELATED (PTHR34454:SF3)				
SORBI_3004G090000	F-box associated domain-containing protein	OS04G0324600 PROTEIN (PTHR33207:SF84)				
SORBI_3003G273100	Vesicle transport v-SNARE N-terminal domain-containing protein	VESICLE TRANSPORT THROUGH INTERACTION WITH T-SNARES HOMOLOG 1A (PTHR21230:SF26)	SNARE protein(PC00034)	SNARE binding(GO:0000149);SNAP receptor activity(GO:0005484)	intracellular protein transport(GO:0006886);vesicle-mediated transport(GO:0016192);membrane fusion(GO:0061025)	endosome(GO:0005768);endoplasmic reticulum membrane(GO:0005789);Golgi apparatus(GO:0005794);ER to Golgi transport vesicle membrane(GO:0012507);membrane(GO:0016020);late endosome membrane(GO:0031902)
SORBI_3004G025100	Pentacotripeptide-repeat region of PRORP domain-containing protein	OS02G0126500 PROTEIN (PTHR47928:SF115)		RNA binding(GO:0003723)	RNA modification(GO:0009451)	
SORBI_3001G480800	Protein kinase domain-containing protein	PROTEIN STRUBBELIG-RECEPTOR FAMILY 7 (PTHR48005:SF39)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)		plasma membrane(GO:0005886);plasmodesma(GO:0009506)
SORBI_3004G096600	Uncharacterized protein					
SORBI_3001G334700	Protein kinase domain-containing protein	CALCIUM BINDING EGF DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR27005:SF204)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);calcium ion binding(GO:0005509);ATP binding(GO:0005524);polysaccharide binding(GO:0030247)	cell surface receptor signaling pathway(GO:0007166)	membrane(GO:0016020)
SORBI_3003G051500	Pentacotripeptide-repeat region of PRORP domain-containing protein	OS01G0170800 PROTEIN (PTHR45613:SF248)				
SORBI_3002G090900	Cytochrome P450	CYTOCHROME P450 SUPERFAMILY PROTEIN-RELATED (PTHR47956:SF145)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037)		
SORBI_3010G082300	Fucosyltransferase	FUCOSYLTRANSFERASE (PTHR31889:SF6)	transferase(PC00220)	galactoside 2-alpha-L-fucosyltransferase activity(GO:0008107)	cell wall biogenesis(GO:0042546);cell wall organization(GO:0071555)	membrane(GO:0016020);Golgi cisterna membrane(GO:0032580)
SORBI_3003G362300	Uncharacterized protein	TRANSCRIPTIONAL REGULATOR ATRX (PTHR33701:SF3)				
SORBI_3002G184600	Trehalose 6-phosphate phosphatase	TREHALOSE 6-PHOSPHATE PHOSPHATASE (PTHR43768:SF3)	phosphatase(PC00181)	trehalose-phosphatase activity(GO:0004805)	trehalose biosynthetic process(GO:0005992)	
SORBI_3004G235000	Methyltransferase type 11 domain-containing protein	ALKYLATED DNA REPAIR PROTEIN ALKB HOMOLOG 8 (PTHR13069:SF21)		tRNA binding(GO:0000049);tRNA methyltransferase activity(GO:0008175);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);tRNA (5-carboxymethyluridine(34)-5-O)-methyltransferase activity(GO:0106335)	tRNA modification(GO:0006400);tRNA methylation(GO:0030488)	nucleus(GO:0005634);cytoplasm(GO:0005737)
SORBI_3007G100032	Uncharacterized protein					
