Condition	Layer	Trait	GeneID	Gene_Chr	Gene_Start	Gene_End	N_sig_SNPs	Best_P	Lead_SNP	Lead_Chr	Lead_BP	Max_r2
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G106550	8	50142779	50144253	2	4.627337e-14	SNP_49914919	8	49914919	0.629124
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3010G140800	10	32680719	32683021	1	5.878505e-14	SNP_32594255	10	32594255	0.864546
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131200	8	55707544	55714682	1	6.204077e-14	SNP_55831934	8	55831934	0.587348
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131300	8	55716132	55718008	1	6.204077e-14	SNP_55831934	8	55831934	0.522406
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131400	8	55724538	55727053	1	6.204077e-14	SNP_55831934	8	55831934	0.42887
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131500	8	55748818	55755548	1	6.204077e-14	SNP_55831934	8	55831934	0.789552
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131550	8	55770605	55772020	1	6.204077e-14	SNP_55831934	8	55831934	0.78927
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131601	8	55772437	55777903	1	6.204077e-14	SNP_55831934	8	55831934	0.835298
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131651	8	55778011	55779979	1	6.204077e-14	SNP_55831934	8	55831934	0.802208
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131700	8	55795932	55802267	1	6.204077e-14	SNP_55831934	8	55831934	0.807721
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131800	8	55801939	55815614	1	6.204077e-14	SNP_55831934	8	55831934	0.869713
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G131900	8	55816339	55821120	1	6.204077e-14	SNP_55831934	8	55831934	0.936702
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132000	8	55839853	55843326	1	6.204077e-14	SNP_55831934	8	55831934	0.885188
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132200	8	55848764	55854063	1	6.204077e-14	SNP_55831934	8	55831934	0.641393
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132250	8	55858948	55860843	1	6.204077e-14	SNP_55831934	8	55831934	0.701996
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132300	8	55898550	55902947	1	6.204077e-14	SNP_55831934	8	55831934	0.623157
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132400	8	55905226	55906819	1	6.204077e-14	SNP_55831934	8	55831934	0.644279
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132500	8	55908329	55913278	1	6.204077e-14	SNP_55831934	8	55831934	0.651557
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132550	8	55913940	55917987	1	6.204077e-14	SNP_55831934	8	55831934	0.615576
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132600	8	55920712	55928484	1	6.204077e-14	SNP_55831934	8	55831934	0.658875
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132700	8	55932919	55936935	1	6.204077e-14	SNP_55831934	8	55831934	0.67161
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132800	8	55943024	55947315	1	6.204077e-14	SNP_55831934	8	55831934	0.687894
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G132900	8	55948254	55956733	1	6.204077e-14	SNP_55831934	8	55831934	0.647951
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G133100	8	55967541	55971627	1	6.204077e-14	SNP_55831934	8	55831934	0.514183
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G133200	8	55987061	55988758	1	6.204077e-14	SNP_55831934	8	55831934	0.400905
CTL	individual_lipids_final	TG(16:0_18:1_20:1)	SORBI_3005G110120	5	24097855	24100470	1	6.65374e-14	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:1_20:1)	SORBI_3005G110160	5	24125145	24127909	1	6.65374e-14	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G049600	6	35879991	35916918	6	7.659459e-14	SNP_36116767	6	36116767	0.977354
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G049633	6	35903080	35904540	6	7.659459e-14	SNP_36116767	6	36116767	0.963581
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G044466	6	31026444	31036937	2	9.34374e-14	SNP_31285694	6	31285694	0.963195
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G044532	6	31084372	31086231	2	9.34374e-14	SNP_31285694	6	31285694	0.940262
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G044600	6	31236917	31244123	2	9.34374e-14	SNP_31285694	6	31285694	0.963195
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3006G044800	6	31450469	31451300	1	9.34374e-14	SNP_31285694	6	31285694	0.46985
CTL	individual_lipids_final	gibberellic acid	SORBI_3002G084900	2	9034191	9035388	1	9.610667e-14	SNP_9112789	2	9112789	0.475592
CTL	individual_lipids_final	gibberellic acid	SORBI_3002G085100	2	9041063	9044682	1	9.610667e-14	SNP_9112789	2	9112789	0.40034
CTL	individual_lipids_final	gibberellic acid	SORBI_3002G085800	2	9133860	9135524	1	9.610667e-14	SNP_9112789	2	9112789	0.462612
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131200	8	55707544	55714682	1	1.03011e-13	SNP_55831934	8	55831934	0.587348
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131300	8	55716132	55718008	1	1.03011e-13	SNP_55831934	8	55831934	0.522406
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131400	8	55724538	55727053	1	1.03011e-13	SNP_55831934	8	55831934	0.42887
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131500	8	55748818	55755548	1	1.03011e-13	SNP_55831934	8	55831934	0.789552
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131550	8	55770605	55772020	1	1.03011e-13	SNP_55831934	8	55831934	0.78927
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131601	8	55772437	55777903	1	1.03011e-13	SNP_55831934	8	55831934	0.835298
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131651	8	55778011	55779979	1	1.03011e-13	SNP_55831934	8	55831934	0.802208
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131700	8	55795932	55802267	1	1.03011e-13	SNP_55831934	8	55831934	0.807721
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131800	8	55801939	55815614	1	1.03011e-13	SNP_55831934	8	55831934	0.869713
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G131900	8	55816339	55821120	1	1.03011e-13	SNP_55831934	8	55831934	0.936702
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132000	8	55839853	55843326	1	1.03011e-13	SNP_55831934	8	55831934	0.885188
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132200	8	55848764	55854063	1	1.03011e-13	SNP_55831934	8	55831934	0.641393
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132250	8	55858948	55860843	1	1.03011e-13	SNP_55831934	8	55831934	0.701996
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132300	8	55898550	55902947	1	1.03011e-13	SNP_55831934	8	55831934	0.623157
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132400	8	55905226	55906819	1	1.03011e-13	SNP_55831934	8	55831934	0.644279
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132500	8	55908329	55913278	1	1.03011e-13	SNP_55831934	8	55831934	0.651557
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132550	8	55913940	55917987	1	1.03011e-13	SNP_55831934	8	55831934	0.615576
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132600	8	55920712	55928484	1	1.03011e-13	SNP_55831934	8	55831934	0.658875
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132700	8	55932919	55936935	1	1.03011e-13	SNP_55831934	8	55831934	0.67161
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132800	8	55943024	55947315	1	1.03011e-13	SNP_55831934	8	55831934	0.687894
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G132900	8	55948254	55956733	1	1.03011e-13	SNP_55831934	8	55831934	0.647951
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G133100	8	55967541	55971627	1	1.03011e-13	SNP_55831934	8	55831934	0.514183
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3008G133200	8	55987061	55988758	1	1.03011e-13	SNP_55831934	8	55831934	0.400905
CTL	individual_lipids_final	TG(16:0_18:1_20:0)	SORBI_3005G110120	5	24097855	24100470	1	1.141618e-13	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:1_20:0)	SORBI_3005G110160	5	24125145	24127909	1	1.141618e-13	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3005G086650	5	12041602	12053692	2	1.174296e-13	SNP_11830284	5	11830284	0.643647
CTL	individual_lipids_final	TG(16:0_18:0_18:2)	SORBI_3001G318000	1	60644084	60645212	1	1.240827e-13	SNP_60651888	1	60651888	0.467674
CTL	individual_lipids_final	TG(16:0_18:0_18:2)	SORBI_3001G318100	1	60647011	60650614	1	1.240827e-13	SNP_60651888	1	60651888	0.489643
CTL	individual_lipids_final	TG(16:0_18:0_18:2)	SORBI_3010G140800	10	32680719	32683021	1	1.316386e-13	SNP_32594255	10	32594255	0.864546
CTL	individual_lipids_final	TG(16:1_18:1_18:1)	SORBI_3005G110120	5	24097855	24100470	1	1.318927e-13	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:1_18:1_18:1)	SORBI_3005G110160	5	24125145	24127909	1	1.318927e-13	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:0_18:2)	SORBI_3005G110120	5	24097855	24100470	1	1.377907e-13	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:0_18:2)	SORBI_3005G110160	5	24125145	24127909	1	1.377907e-13	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G111800	7	42565325	42572457	8	1.799445e-13	SNP_42553822	7	42553822	0.692593
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G111901	7	42590433	42594890	8	1.799445e-13	SNP_42553822	7	42553822	0.699153
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G112000	7	42598137	42600011	8	1.799445e-13	SNP_42553822	7	42553822	0.6675
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G112100	7	42744075	42748053	3	1.799445e-13	SNP_42553822	7	42553822	0.662813
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G112200	7	42750236	42766819	3	1.799445e-13	SNP_42553822	7	42553822	0.66926
CTL	individual_lipids_final	TG(16:0_18:1_20:2)	SORBI_3007G113900	7	46103134	46116346	1	1.861866e-13	SNP_46143003	7	46143003	0.871228
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3002G148100	2	37812109	37835896	1	2.17296e-13	SNP_37881173	2	37881173	0.952564
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3002G148166	2	37822220	37822832	1	2.17296e-13	SNP_37881173	2	37881173	0.917433
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3002G148232	2	37930441	37932373	1	2.17296e-13	SNP_37881173	2	37881173	0.928983
CTL	individual_lipids_final	TG(16:0_18:1_20:1)	SORBI_3005G148500	5	61659987	61667430	1	2.297216e-13	SNP_61715312	5	61715312	0.521234
CTL	individual_lipids_final	TG(16:0_18:1_20:1)	SORBI_3005G149000	5	61740897	61747039	1	2.297216e-13	SNP_61715312	5	61715312	0.741279
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3002G148100	2	37812109	37835896	1	2.763681e-13	SNP_37881173	2	37881173	0.952564
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3002G148166	2	37822220	37822832	1	2.763681e-13	SNP_37881173	2	37881173	0.917433
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3002G148232	2	37930441	37932373	1	2.763681e-13	SNP_37881173	2	37881173	0.928983
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G044466	6	31026444	31036937	2	3.006849e-13	SNP_31285694	6	31285694	0.963195
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G044532	6	31084372	31086231	2	3.006849e-13	SNP_31285694	6	31285694	0.940262
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G044600	6	31236917	31244123	2	3.006849e-13	SNP_31285694	6	31285694	0.963195
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G044800	6	31450469	31451300	1	3.006849e-13	SNP_31285694	6	31285694	0.46985
CTL	individual_lipids_final	TG(16:0_18:1_20:0)	SORBI_3006G048775	6	35064177	35066809	3	3.126946e-13	SNP_35125029	6	35125029	1
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3007G111800	7	42565325	42572457	8	3.3913e-13	SNP_42553822	7	42553822	0.692593
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3007G111901	7	42590433	42594890	8	3.3913e-13	SNP_42553822	7	42553822	0.699153
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3007G112000	7	42598137	42600011	8	3.3913e-13	SNP_42553822	7	42553822	0.6675
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3007G112100	7	42744075	42748053	3	3.3913e-13	SNP_42553822	7	42553822	0.662813
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3007G112200	7	42750236	42766819	3	3.3913e-13	SNP_42553822	7	42553822	0.66926
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G105500	8	49760626	49764366	4	4.101585e-13	SNP_49914919	8	49914919	0.725433
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G105600	8	49771416	49773467	4	4.101585e-13	SNP_49914919	8	49914919	0.879194
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G105800	8	49839493	49844969	4	4.101585e-13	SNP_49914919	8	49914919	0.862789
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G105850	8	49873777	49874654	4	4.101585e-13	SNP_49914919	8	49914919	0.810974
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G105900	8	49873779	49877757	4	4.101585e-13	SNP_49914919	8	49914919	0.810974
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G106200	8	49976166	49984597	4	4.101585e-13	SNP_49914919	8	49914919	0.729909
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G106301	8	50023248	50024607	4	4.101585e-13	SNP_49914919	8	49914919	0.607813
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G106500	8	50133783	50134613	2	4.101585e-13	SNP_49914919	8	49914919	0.597778
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3008G106550	8	50142779	50144253	2	4.101585e-13	SNP_49914919	8	49914919	0.629124
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G070700	7	7835992	7839290	3	4.30794e-13	SNP_7908077	7	7908077	0.736214
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G070900	7	7861480	7864348	3	4.30794e-13	SNP_7908077	7	7908077	0.736214
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G071000	7	7871028	7874296	3	4.30794e-13	SNP_7908077	7	7908077	0.736214
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G071200	7	7882997	7889445	3	4.30794e-13	SNP_7908077	7	7908077	0.603923
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G071300	7	7892356	7896836	3	4.30794e-13	SNP_7908077	7	7908077	0.534647
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G071400	7	7898300	7912298	3	4.30794e-13	SNP_7908077	7	7908077	1
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G071500	7	7914921	7916732	3	4.30794e-13	SNP_7908077	7	7908077	0.586622
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G071600	7	7941116	7943460	3	4.30794e-13	SNP_7908077	7	7908077	0.5691
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G071700	7	7943612	7945200	3	4.30794e-13	SNP_7908077	7	7908077	0.545225
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3007G071800	7	7946843	7949108	3	4.30794e-13	SNP_7908077	7	7908077	0.486238
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3005G148500	5	61659987	61667430	1	4.670463e-13	SNP_61715312	5	61715312	0.521234
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3005G149000	5	61740897	61747039	1	4.670463e-13	SNP_61715312	5	61715312	0.741279
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3006G049700	6	36626672	36630941	1	4.862304e-13	SNP_36770981	6	36770981	0.934293
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3006G049900	6	36790405	36795881	1	4.862304e-13	SNP_36770981	6	36770981	0.939332
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3006G050000	6	36803025	36807791	1	4.862304e-13	SNP_36770981	6	36770981	0.486311
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3006G050050	6	36893354	36896021	1	4.862304e-13	SNP_36770981	6	36770981	0.932377
CTL	individual_lipids_final	TG(16:0_16:0_18:1)	SORBI_3006G049700	6	36626672	36630941	2	4.917261e-13	SNP_36770981	6	36770981	0.934293
CTL	individual_lipids_final	TG(16:0_16:0_18:1)	SORBI_3006G049900	6	36790405	36795881	2	4.917261e-13	SNP_36770981	6	36770981	0.939332
CTL	individual_lipids_final	TG(16:0_16:0_18:1)	SORBI_3006G050000	6	36803025	36807791	2	4.917261e-13	SNP_36770981	6	36770981	0.49184
CTL	individual_lipids_final	TG(16:0_16:0_18:1)	SORBI_3006G050050	6	36893354	36896021	2	4.917261e-13	SNP_36770981	6	36770981	0.932377
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3006G048775	6	35064177	35066809	3	5.012724e-13	SNP_35125029	6	35125029	1
CTL	individual_lipids_final	TG(16:0_18:1_18:1)	SORBI_3005G086650	5	12041602	12053692	2	5.209939e-13	SNP_11830284	5	11830284	0.643647
CTL	individual_lipids_final	TG(16:0_18:1_18:2)	SORBI_3005G110120	5	24097855	24100470	1	5.387746e-13	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_18:1_18:2)	SORBI_3005G110160	5	24125145	24127909	1	5.387746e-13	SNP_24255190	5	24255190	0.81876
CTL	individual_lipids_final	TG(16:0_16:0_20:1)	SORBI_3005G208275	5	69483055	69485289	2	5.863299e-13	SNP_69466657	5	69466657	0.425481
CTL	individual_lipids_final	TG(12:0_12:0_16:1)	SORBI_3006G248100	6	58758117	58760732	1	6.016559e-13	SNP_58780498	6	58780498	0.429044
CTL	individual_lipids_final	TG(18:0_18:2_18:2)	SORBI_3007G111800	7	42565325	42572457	8	6.128759e-13	SNP_42553822	7	42553822	0.692593
