GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
SORBI_3008G149000	Glycosyltransferase	GLYCOSYLTRANSFERASE (PTHR48048:SF23)	glycosyltransferase(PC00111)	UDP-glycosyltransferase activity(GO:0008194);glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251)		
SORBI_3010G126900	Protein kinase domain-containing protein	OS07G0131500 PROTEIN (PTHR27007:SF4)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);carbohydrate binding(GO:0030246)	negative regulation of response to salt stress(GO:1901001)	plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3007G162400	ABC transporter domain-containing protein	ABC TRANSPORTER G FAMILY MEMBER 8 (PTHR48041:SF27)	ATP-binding cassette (ABC) transporter(PC00003)	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3004G276200	Uncharacterized protein	PROTEIN NRT1_ PTR FAMILY 7.2 (PTHR11654:SF333)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3008G096100	Aminopeptidase	EXPRESSED PROTEIN (PTHR33645:SF14)	protease(PC00190)			
SORBI_3001G314100	Peroxidase	PEROXIDASE (PTHR31235:SF50)	peroxidase(PC00180)	peroxidase activity(GO:0004601);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
SORBI_3001G415901	Uncharacterized protein					
SORBI_3001G023700	DUF3511 domain-containing protein	EXPRESSED PROTEIN (PTHR33193:SF74)				
SORBI_3002G031600	Cadmium-induced protein AS8	CADMIUM-INDUCED PROTEIN AS8 (PTHR36778:SF1)				
SORBI_3004G125800	Tocopherol cyclase	"TOCOPHEROL CYCLASE, CHLOROPLASTIC (PTHR35309:SF2)"		tocopherol cyclase activity(GO:0009976)		plastoglobule(GO:0010287)
SORBI_3004G045632	Uncharacterized protein					
SORBI_3001G189100	Clathrin_coatomer adaptor adaptin-like N-terminal domain-containing protein	COATOMER SUBUNIT BETA-1 (PTHR10635:SF3)	vesicle coat protein(PC00235)		intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);intra-Golgi vesicle-mediated transport(GO:0006891)	cytoplasm(GO:0005737);COPI vesicle coat(GO:0030126)
SORBI_3003G389601	Uncharacterized protein					
SORBI_3006G187800	Uncharacterized protein	"PROTEIN FATTY ACID EXPORT 4, CHLOROPLASTIC (PTHR12668:SF38)"				membrane(GO:0016020)
SORBI_3009G134300	Inosine_uridine-preferring nucleoside hydrolase domain-containing protein	NUCLEOSIDE HYDROLASE 3-RELATED (PTHR46692:SF1)	hydrolase(PC00121)	"hydrolase activity, hydrolyzing N-glycosyl compounds(GO:0016799)"		
SORBI_3007G161400	Peroxisomal membrane protein PMP22	OS08G0566900 PROTEIN (PTHR11266:SF46)	transporter(PC00227)			membrane(GO:0016020)
SORBI_3008G102850	Uncharacterized protein					
SORBI_3010G140150	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3008G018400	VQ domain-containing protein	VQ (PTHR33179:SF71)				
SORBI_3005G223600	Uncharacterized protein	OS08G0170100 PROTEIN (PTHR19338:SF75)		ADP binding(GO:0043531)	innate immune response-activating signaling pathway(GO:0002758);defense response(GO:0006952);plant-type hypersensitive response(GO:0009626);defense response to bacterium(GO:0042742)	
SORBI_3001G249300	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein	LEUCINE-RICH REPEAT-CONTAINING N-TERMINAL PLANT-TYPE DOMAIN-CONTAINING PROTEIN (PTHR27004:SF449)				plasma membrane(GO:0005886);membrane(GO:0016020)
SORBI_3007G012300	Uncharacterized protein					
SORBI_3001G127300	Uncharacterized protein					
SORBI_3007G181100	Protein DETOXIFICATION	PROTEIN DETOXIFICATION (PTHR11206:SF144)	transporter(PC00227)	antiporter activity(GO:0015297);xenobiotic transmembrane transporter activity(GO:0042910)	transmembrane transport(GO:0055085);xenobiotic detoxification by transmembrane export across the plasma membrane(GO:1990961)	membrane(GO:0016020)
SORBI_3002G092050	Pentacotripeptide-repeat region of PRORP domain-containing protein	PENTACOTRIPEPTIDE-REPEAT REGION OF PRORP DOMAIN-CONTAINING PROTEIN (PTHR46128:SF184)	RNA splicing factor(PC00148)			
SORBI_3010G181200	Protein FAR1-RELATED SEQUENCE	PROTEIN FAR1-RELATED SEQUENCE (PTHR31669:SF37)		zinc ion binding(GO:0008270)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
SORBI_3009G085200	Lactoylglutathione lyase	LACTOYLGLUTATHIONE LYASE (PTHR46036:SF5)	lyase(PC00144)	lactoylglutathione lyase activity(GO:0004462);metal ion binding(GO:0046872)		
SORBI_3002G158401	Uncharacterized protein					
SORBI_3001G164800	TF-B3 domain-containing protein	B3 DOMAIN-CONTAINING PROTEIN OS03G0622200 (PTHR31391:SF70)		DNA binding(GO:0003677)		nucleus(GO:0005634)
SORBI_3007G089300	Protein kinase domain-containing protein	OS04G0197200 PROTEIN (PTHR27002:SF372)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)	response to abscisic acid(GO:0009737)	membrane(GO:0016020)
SORBI_3001G392650	Uncharacterized protein					
SORBI_3010G222800	SANTA domain-containing protein	PROTEIN EMBRYO DEFECTIVE 1674 (PTHR35311:SF1)				nucleus(GO:0005634)
SORBI_3010G136450	CCHC-type domain-containing protein	OS11G0296500 PROTEIN (PTHR23002:SF89)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)	positive regulation of cytoplasmic translation(GO:2000767)	cytoplasm(GO:0005737)
SORBI_3001G250900	Uncharacterized protein					
SORBI_3002G158500	Uncharacterized protein	SUBFAMILY NOT NAMED (PTHR46224:SF22)				
SORBI_3001G026000	Galactokinase	GALACTOKINASE-RELATED (PTHR10457:SF7)	carbohydrate kinase(PC00065)	"galactokinase activity(GO:0004335);ATP binding(GO:0005524);kinase activity(GO:0016301);phosphotransferase activity, alcohol group as acceptor(GO:0016773)"	carbohydrate metabolic process(GO:0005975);galactose metabolic process(GO:0006012);carbohydrate phosphorylation(GO:0046835)	cytoplasm(GO:0005737)
SORBI_3009G043500	Sulfite oxidase	OS12G0442800 PROTEIN (PTHR19372:SF14)	reductase(PC00198)	sulfite oxidase activity(GO:0008482);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);molybdenum ion binding(GO:0030151);molybdopterin cofactor binding(GO:0043546)		mitochondrion(GO:0005739)
SORBI_3001G165200	TF-B3 domain-containing protein	B3 DOMAIN-CONTAINING PROTEIN OS03G0621600-RELATED (PTHR31920:SF135)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677)		nucleus(GO:0005634)
SORBI_3002G253600	K Homology domain-containing protein	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN K (PTHR10288:SF340)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		
SORBI_3008G091557	Uncharacterized protein					
SORBI_3007G099133	Uncharacterized protein					
SORBI_3001G271300	Rx N-terminal domain-containing protein	RX N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR33377:SF79)				
SORBI_3009G223100	Adenylate isopentenyltransferase	ADENYLATE ISOPENTENYLTRANSFERASE (PTHR11088:SF32)	RNA processing factor(PC00147)	AMP dimethylallyltransferase activity(GO:0009824);tRNA dimethylallyltransferase activity(GO:0052381)	tRNA modification(GO:0006400)	
SORBI_3004G335200	Uncharacterized protein					
SORBI_3006G017400	NB-ARC domain-containing protein	NB-ARC DOMAIN-CONTAINING PROTEIN (PTHR33463:SF103)				
SORBI_3010G165200	Uncharacterized protein	OS06G0554600 PROTEIN (PTHR33265:SF26)				
SORBI_3009G107300	3'-5' exonuclease domain-containing protein	EXONUCLEASE 3'-5' DOMAIN-CONTAINING PROTEIN 2 (PTHR13620:SF104)		nucleic acid binding(GO:0003676);3'-5' exonuclease activity(GO:0008408)		nucleus(GO:0005634);cytoplasmic stress granule(GO:0010494)
SORBI_3009G084950	Uncharacterized protein					
SORBI_3005G088500	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF233)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
SORBI_3001G479800	Hexosyltransferase	UDP-GLUCURONATE:XYLAN ALPHA-GLUCURONOSYLTRANSFERASE 2 (PTHR11183:SF44)	glycosyltransferase(PC00111)	glycosyltransferase activity(GO:0016757)		Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
SORBI_3002G263200	SAP domain-containing protein	OS09G0514700 PROTEIN (PTHR36376:SF1)				
SORBI_3005G217101	Pectinesterase	PECTINESTERASE (PTHR31321:SF91)	hydrolase(PC00121)	pectinesterase activity(GO:0030599)	cell wall modification(GO:0042545);pectin catabolic process(GO:0045490)	
SORBI_3001G033400	Protein kinase domain-containing protein	OS03G0821900 PROTEIN (PTHR45621:SF203)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)		
SORBI_3001G332933	Secreted protein					
SORBI_3006G033101	Cleavage_polyadenylation specificity factor A subunit C-terminal domain-containing protein	CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR SUBUNIT 1 (PTHR10644:SF2)	RNA processing factor(PC00147)	nucleic acid binding(GO:0003676)		nucleus(GO:0005634)
SORBI_3010G180000	Uncharacterized protein					
SORBI_3008G022200	C3H1-type domain-containing protein	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 46 (PTHR24009:SF45)	RNA metabolism protein(PC00031)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);metal ion binding(GO:0046872)		
SORBI_3009G044100	Pectinesterase inhibitor domain-containing protein	OS05G0149000 PROTEIN (PTHR35357:SF1)		enzyme inhibitor activity(GO:0004857)		
SORBI_3004G331800	Uncharacterized protein	OS02G0797600 PROTEIN (PTHR33670:SF15)	RNA splicing factor(PC00148)		mRNA metabolic process(GO:0016071)	
SORBI_3009G043600	glutathione transferase	GLUTATHIONE S-TRANSFERASE 4 (PTHR43900:SF17)	transferase(PC00220)	glutathione transferase activity(GO:0004364)	glutathione metabolic process(GO:0006749);response to herbicide(GO:0009635)	
SORBI_3003G082401	Protein kinase domain-containing protein	RECEPTOR SERINE_THREONINE KINASE (PTHR27009:SF128)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)		membrane(GO:0016020)
SORBI_3001G312801	Uncharacterized protein					
SORBI_3010G195000	SEC7 domain-containing protein	BREFELDIN A-INHIBITED GUANINE NUCLEOTIDE-EXCHANGE PROTEIN 1 (PTHR10663:SF398)	guanyl-nucleotide exchange factor(PC00113)	guanyl-nucleotide exchange factor activity(GO:0005085)	regulation of ARF protein signal transduction(GO:0032012)	cytosol(GO:0005829);membrane(GO:0016020)
SORBI_3002G199650	Uncharacterized protein					
SORBI_3009G069800	Phosphotransferase	HEXOKINASE-7 (PTHR19443:SF87)	kinase(PC00137)	glucokinase activity(GO:0004340);hexokinase activity(GO:0004396);ATP binding(GO:0005524);D-glucose binding(GO:0005536);fructokinase activity(GO:0008865)	intracellular glucose homeostasis(GO:0001678);carbohydrate metabolic process(GO:0005975);glucose metabolic process(GO:0006006);glycolytic process(GO:0006096);response to glucose(GO:0009749);hexose metabolic process(GO:0019318);glucose 6-phosphate metabolic process(GO:0051156)	mitochondrion(GO:0005739);cytosol(GO:0005829)
SORBI_3001G105400	Pentacotripeptide-repeat region of PRORP domain-containing protein	OS03G0728200 PROTEIN (PTHR45613:SF247)				
SORBI_3001G210000	CDT1 Geminin-binding domain-containing protein	EXPRESSED PROTEIN (PTHR28637:SF13)	DNA metabolism protein(PC00009)	DNA binding(GO:0003677)	DNA replication checkpoint signaling(GO:0000076);mitotic cell cycle(GO:0000278);regulation of DNA-templated DNA replication initiation(GO:0030174);DNA replication preinitiation complex assembly(GO:0071163)	nucleus(GO:0005634)
SORBI_3002G028201	BTB domain-containing protein	BTB DOMAIN-CONTAINING PROTEIN (PTHR26379:SF506)			protein ubiquitination(GO:0016567)	
SORBI_3005G106800	Uncharacterized protein					
SORBI_3010G153600	DYW domain-containing protein	OS04G0118700 PROTEIN (PTHR24015:SF1892)		RNA binding(GO:0003723);zinc ion binding(GO:0008270)	RNA modification(GO:0009451)	
SORBI_3008G003300	Uncharacterized protein					
