GeneID	GeneName	Flag	Conditions	Ontologies	Classes	Max_recurrence	Best_GWAS_p	Max_r2	Max_fold	Max_intervals	Specific	N_terms	Chr	Start	Family	Terms
SORBI_3005G105000	Protein kinase domain-containing protein	metabolic enzyme	LIN	BP	PS	1	2.010043e-09	0.413649	79.61	2	yes	1	5	19091402	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3 (PTHR48016:SF8)	MAPK cascade
SORBI_3003G088800	Plastocyanin-like domain-containing protein	metabolic enzyme	LIN	BP;CC;MF	AEG;DG;DGDG;FA;GalCer;MG;MGDG;PE;PG;SQDG	11	4.464413e-20	1	64.06	10	yes	3	3	7729188	MULTICOPPER OXIDASE LPR1 (PTHR11709:SF2)	cellular response to phosphate starvation | copper ion binding | endoplasmic reticulum membrane
SORBI_3003G088900	Plastocyanin-like domain-containing protein	metabolic enzyme	LIN	BP;CC;MF	AEG;DG;DGDG;FA;GalCer;MG;MGDG;PE;PG;SQDG	11	4.464413e-20	1	64.06	10	yes	3	3	7737004	MULTICOPPER OXIDASE LPR1 HOMOLOG 1 (PTHR11709:SF340)	cellular response to phosphate starvation | copper ion binding | endoplasmic reticulum membrane
SORBI_3010G127300	Protein kinase domain-containing protein	metabolic enzyme	CTL;LIN	BP;CC;MF	PC;SQDG	1	9.595744e-11	0.566974	59.79	31	yes	6	10	16104084	LECTIN-LIKE RECEPTOR PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR27007:SF28)	ATP binding | carbohydrate binding | membrane | negative regulation of response to salt stress | nucleotide binding | protein serine/threonine kinase activity
SORBI_3010G126900	Protein kinase domain-containing protein	metabolic enzyme	CTL	BP	PC	1	7.957483e-09	0.435269	59.79	1	single locus	1	10	16049286	OS07G0131500 PROTEIN (PTHR27007:SF4)	negative regulation of response to salt stress
SORBI_3001G100800	Folate transporter 1	transport	LIN	BP;CC;MF	FA;PC	4	7.419754e-14	0.989741	59.01	97	yes	5	1	7678812	MITOCHONDRIAL FOLATE TRANSPORTER_CARRIER (PTHR45683:SF3)	membrane | nucleotide transmembrane transport | nucleotide transmembrane transporter activity | nucleotide transport | transmembrane transport
SORBI_3001G101100	Folate transporter 1, chloroplastic	transport	LIN	BP;CC;MF	FA;PC	4	7.419754e-14	0.92623	59.01	97	yes	5	1	7725812	MITOCHONDRIAL FOLATE TRANSPORTER_CARRIER (PTHR45683:SF3)	membrane | nucleotide transmembrane transport | nucleotide transmembrane transporter activity | nucleotide transport | transmembrane transport
SORBI_3001G028500	SPX domain-containing protein	repeat-associated domain	LIN	BP	FA;SQDG	3	9.303456e-14	1	51.48	3	yes	1	1	2241769	SPX DOMAIN-CONTAINING PROTEIN 4 (PTHR45978:SF7)	cellular response to phosphate starvation
SORBI_3004G181500	RecA family profile 1 domain-containing protein	repeat-associated domain	LIN	BP;CC;MF	FA;PC;TG	4	2.053025e-10	1	37.16	63	yes	5	4	53430497	DNA REPAIR PROTEIN XRCC3 (PTHR46487:SF1)	ATP binding | DNA binding | DNA repair | replication fork | telomere maintenance via recombination
SORBI_3004G151000	Zinc-hook domain-containing protein	repeat-associated domain	LIN	BP;CC;MF	TG	1	2.370602e-09	0.421548	37.16	55	yes	5	4	47816942	DNA REPAIR PROTEIN RAD50 (PTHR18867:SF12)	ATP hydrolysis activity | DNA repair | chromosome organization involved in meiotic cell cycle | nucleus | telomere maintenance via recombination
SORBI_3004G009400	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP;CC;MF	FA	4	4.92621e-15	0.981913	35.4	18	yes	5	4	803924	HIGH-AFFINITY NITRATE TRANSPORTER 2.1-RELATED (PTHR23515:SF29)	endomembrane system | nitrate transmembrane transport | nitrate transmembrane transporter activity | transmembrane transport | transmembrane transporter activity
SORBI_3004G009500	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP;CC;MF	FA	2	4.92621e-15	0.665421	35.4	18	yes	5	4	814200	HIGH-AFFINITY NITRATE TRANSPORTER 2.1-RELATED (PTHR23515:SF29)	endomembrane system | nitrate transmembrane transport | nitrate transmembrane transporter activity | transmembrane transport | transmembrane transporter activity
SORBI_3001G259600	Protein TIFY	""	CTL;LIN	BP;CC	AEG;PC;TG	9	1.626147e-12	0.848571	34.55	86	yes	4	1	31327155	PROTEIN TIFY (PTHR33077:SF121)	nucleus | regulation of defense response | regulation of jasmonic acid mediated signaling pathway | response to wounding
SORBI_3001G259300	Protein TIFY	""	LIN	BP;CC	AEG;PC	2	1.45935e-11	0.881297	34.55	86	yes	4	1	31035454	PROTEIN TIFY (PTHR33077:SF73)	nucleus | regulation of defense response | regulation of jasmonic acid mediated signaling pathway | response to wounding
SORBI_3001G259400	Protein TIFY	""	CTL;LIN	BP;CC	AEG;PC;TG	9	1.45935e-11	0.689384	34.55	86	yes	4	1	31205564	PROTEIN TIFY (PTHR33077:SF64)	nucleus | regulation of defense response | regulation of jasmonic acid mediated signaling pathway | response to wounding
SORBI_3007G041500	DAGKc domain-containing protein	metabolic enzyme	LIN	BP	AEG	3	7.231734e-10	0.638753	34.55	2	yes	1	7	4070727	OS08G0152700 PROTEIN (PTHR12358:SF37)	sphingolipid metabolic process
SORBI_3003G394100	ceramide glucosyltransferase	metabolic enzyme	LIN	BP	AEG	1	1.080235e-09	0.636595	34.55	2	yes	1	3	70491179	CERAMIDE GLUCOSYLTRANSFERASE (PTHR12726:SF0)	sphingolipid metabolic process
SORBI_3010G152500	Glycosyltransferase	metabolic enzyme	LIN	CC;MF	MGDG;SQDG	2	4.653552e-11	0.53449	33.1	5	yes	3	10	44289185	GLYCOSYLTRANSFERASE-RELATED (PTHR20961:SF5)	Golgi membrane | glycosyltransferase activity | pentosyltransferase activity
SORBI_3010G143900	Glycosyltransferase	metabolic enzyme	LIN	CC;MF	MGDG;SQDG	2	1.088706e-10	0.989742	33.1	5	yes	3	10	38788008	OS06G0470000 PROTEIN (PTHR20961:SF19)	Golgi membrane | glycosyltransferase activity | pentosyltransferase activity
SORBI_3010G144400	Glycosyltransferase	metabolic enzyme	LIN	CC;MF	MGDG;SQDG	2	1.088706e-10	0.97817	33.1	5	yes	3	10	38889320	ALPHA-1,3-ARABINOSYLTRANSFERASE XAT3 (PTHR20961:SF97)	Golgi membrane | glycosyltransferase activity | pentosyltransferase activity
SORBI_3005G186700	Carboxypeptidase	metabolic enzyme	CTL	MF	PA	1	3.372341e-11	0.933828	30.58	1	single locus	1	5	67128070	CARBOXYPEPTIDASE (PTHR11802:SF219)	serine-type carboxypeptidase activity
SORBI_3005G186800	Carboxypeptidase	metabolic enzyme	CTL	CC;MF	PA	1	3.372341e-11	0.933828	30.58	2	yes	2	5	67142795	CARBOXYPEPTIDASE (PTHR11802:SF219)	extracellular region | serine-type carboxypeptidase activity
SORBI_3001G222700	aldehyde oxygenase (deformylating)	metabolic enzyme	CTL	BP;CC	TG	8	7.079967e-11	0.49241	28.62	14	yes	2	1	21300007	VERY-LONG-CHAIN ALDEHYDE DECARBONYLASE GL1-5 (PTHR11863:SF210)	cutin biosynthetic process | endoplasmic reticulum membrane
SORBI_3003G360700	Phospholipid_glycerol acyltransferase domain-containing protein	LIPID enzyme/transport	CTL	BP;CC;MF	TG	3	3.343409e-09	0.487743	28.62	44	yes	3	3	67827783	GLYCEROL-3-PHOSPHATE 2-O-ACYLTRANSFERASE 6 (PTHR15486:SF49)	cutin biosynthetic process | hydrolase activity | membrane
SORBI_3003G427200	Uridine 5'-monophosphate synthase	metabolic enzyme	CTL	BP;CC;MF	TG	1	5.274155e-09	0.608188	28.62	49	yes	8	3	73062610	URIDINE 5'-MONOPHOSPHATE SYNTHASE (PTHR19278:SF9)	'de novo' UMP biosynthetic process | 'de novo' pyrimidine nucleobase biosynthetic process | UMP biosynthetic process | cytoplasm | orotate phosphoribosyltransferase activity | orotidine-5'-phosphate decarboxylase activity | pyrimidine nucleobase biosynthetic process | pyrimidine nucleotide biosynthetic process
SORBI_3003G427300	Uridine 5'-monophosphate synthase	metabolic enzyme	CTL	BP;MF	TG	1	5.274155e-09	0.521937	28.62	1	single locus	7	3	73074274	URIDINE 5'-MONOPHOSPHATE SYNTHASE (PTHR19278:SF40)	'de novo' UMP biosynthetic process | 'de novo' pyrimidine nucleobase biosynthetic process | UMP biosynthetic process | orotate phosphoribosyltransferase activity | orotidine-5'-phosphate decarboxylase activity | pyrimidine nucleobase biosynthetic process | pyrimidine nucleotide biosynthetic process
SORBI_3001G035600	Chalcone-flavonone isomerase family protein	metabolic enzyme	LIN	BP	FA	1	2.359303e-13	0.621235	28.32	2	yes	1	1	2674768	CHALCONE--FLAVANONE ISOMERASE 1-RELATED (PTHR28039:SF8)	flavonoid biosynthetic process
SORBI_3004G310100	Fe2OG dioxygenase domain-containing protein	repeat-associated domain	LIN	BP	FA	2	9.372811e-11	0.599688	28.32	2	yes	1	4	64698452	OS02G0767300 PROTEIN (PTHR47990:SF36)	flavonoid biosynthetic process
SORBI_3008G103200	Prolyl endopeptidase	metabolic enzyme	CTL	BP;CC;MF	PC	2	3.94205e-10	0.939525	27.01	4	yes	5	8	48953521	PROLYL ENDOPEPTIDASE (PTHR42881:SF2)	cytosol | peptidase activity | proteolysis | serine-type endopeptidase activity | serine-type peptidase activity
SORBI_3005G152200	Aminotransferase class I_classII domain-containing protein	metabolic enzyme	CTL	MF	TG	10	9.674947e-13	0.414155	25.76	5	yes	3	5	62304454	TYROSINE AMINOTRANSFERASE (PTHR45744:SF11)	nicotianamine:2-oxoglutarate transaminase activity | pyridoxal phosphate binding | transaminase activity
SORBI_3002G041100	Aminotransferase class I_classII domain-containing protein	metabolic enzyme	CTL	MF	TG	10	7.587135e-12	0.924251	25.76	5	yes	3	2	3955784	NICOTIANAMINE AMINOTRANSFERASE 1 (PTHR45744:SF5)	nicotianamine:2-oxoglutarate transaminase activity | pyridoxal phosphate binding | transaminase activity
SORBI_3002G041200	Aminotransferase class I_classII domain-containing protein	metabolic enzyme	CTL	MF	TG	10	7.587135e-12	1	25.76	5	yes	3	2	3970369	NICOTIANAMINE AMINOTRANSFERASE 1 (PTHR45744:SF5)	nicotianamine:2-oxoglutarate transaminase activity | pyridoxal phosphate binding | transaminase activity
SORBI_3004G009200	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP;CC;MF	FA	1	1.131737e-10	0.550196	25.49	18	yes	5	4	788283	NITRATE TRANSPORT3 (PTHR23515:SF17)	endomembrane system | nitrate transmembrane transport | nitrate transmembrane transporter activity | transmembrane transport | transmembrane transporter activity
SORBI_3003G355200	mannose-1-phosphate guanylyltransferase	metabolic enzyme	LIN	BP	FA	2	5.155536e-13	0.419299	25.29	3	yes	2	3	67387221	MANNOSE-1-PHOSPHATE GUANYLYLTRANSFERASE 2-RELATED (PTHR22572:SF161)	GDP-mannose biosynthetic process | glycoprotein biosynthetic process
SORBI_3003G087900	mannose-6-phosphate isomerase	metabolic enzyme	LIN	BP	FA	2	5.65835e-12	0.412546	25.29	2	yes	1	3	7631052	MANNOSE-6-PHOSPHATE ISOMERASE (PTHR10309:SF0)	GDP-mannose biosynthetic process
SORBI_3009G249500	Mitochondrial carrier protein	transport	LIN	BP;CC	PC	1	7.778789e-11	0.547643	24.88	97	yes	3	9	58461666	OS05G0585900 PROTEIN (PTHR24089:SF744)	membrane | nucleotide transmembrane transport | transmembrane transport
SORBI_3010G126100	Peptidase A1 domain-containing protein	metabolic enzyme	CTL;LIN	BP;MF	PC;SQDG	3	5.483313e-12	1	23.36	9	yes	2	10	15775962	ASPARTIC PROTEINASE 3-RELATED (PTHR47965:SF12)	aspartic-type endopeptidase activity | proteolysis
SORBI_3010G127600	Peptidase A1 domain-containing protein	metabolic enzyme	CTL;LIN	BP;MF	PC;SQDG	1	9.595744e-11	0.584503	23.36	9	yes	2	10	16167470	PEPTIDASE A1 DOMAIN-CONTAINING PROTEIN (PTHR13683:SF808)	aspartic-type endopeptidase activity | proteolysis
SORBI_3010G126400	Peptidase A1 domain-containing protein	metabolic enzyme	CTL	BP;MF	PC	3	7.169849e-10	0.820928	23.36	3	yes	2	10	15823053	ASPARTYL PROTEASE AED1 (PTHR13683:SF885)	aspartic-type endopeptidase activity | proteolysis
SORBI_3010G116800	DNA topoisomerase type IA central domain-containing protein	metabolic enzyme	LIN	BP	SQDG	2	1.459576e-11	0.487589	23.25	3	yes	1	10	12802389	""	DNA topological change
SORBI_3010G141001	C-terminal associated domain-containing protein	repeat-associated domain	LIN	BP	SQDG	2	6.119557e-10	0.919019	23.25	3	yes	1	10	33907792	""	DNA topological change
SORBI_3010G141400	Toprim domain-containing protein	repeat-associated domain	LIN	BP	SQDG	3	1.155804e-09	0.957132	23.25	3	yes	1	10	34395148	""	DNA topological change
SORBI_3008G062300	3'(2'),5'-bisphosphate nucleotidase	""	CTL	BP	TG	8	7.506041e-13	0.582237	21.47	1	single locus	2	8	6613465	OS12G0183200 PROTEIN (PTHR43200:SF7)	sulfate assimilation | sulfur compound metabolic process
SORBI_3008G062400	3'(2'),5'-bisphosphate nucleotidase	""	CTL	BP	TG	8	7.506041e-13	0.765872	21.47	1	single locus	2	8	6631205	3'(2'),5'-BISPHOSPHATE NUCLEOTIDASE (PTHR43200:SF6)	sulfate assimilation | sulfur compound metabolic process
SORBI_3005G013500	WRKY domain-containing protein	repeat-associated domain	CTL	BP;CC;MF	PA	2	5.638375e-10	0.933144	21.32	3	yes	4	5	1224392	WRKY DNA-BINDING DOMAIN SUPERFAMILY PROTEIN-RELATED (PTHR31282:SF89)	DNA-binding transcription factor activity | nucleus | regulation of DNA-templated transcription | sequence-specific DNA binding
SORBI_3005G013600	WRKY domain-containing protein	repeat-associated domain	CTL	BP;CC;MF	PA	2	5.638375e-10	0.938617	21.32	3	yes	4	5	1235265	OS12G0116400 PROTEIN (PTHR31282:SF7)	DNA-binding transcription factor activity | nucleus | regulation of DNA-templated transcription | sequence-specific DNA binding
SORBI_3005G014200	WRKY domain-containing protein	repeat-associated domain	CTL	BP;MF	PA	1	1.041704e-09	0.439011	21.32	2	yes	3	5	1302596	WRKY DOMAIN-CONTAINING PROTEIN (PTHR31282:SF107)	DNA-binding transcription factor activity | regulation of DNA-templated transcription | sequence-specific DNA binding
SORBI_3004G007133	FACT complex subunit	""	LIN	BP;CC;MF	AEG;DG;DGDG;FA;GalCer;MG;MGDG;PG;SQDG	16	2.605726e-21	0.97689	21.24	38	yes	4	4	625847	FACT COMPLEX SUBUNIT SPT16 (PTHR13980:SF15)	ATP binding | chromosome | nucleosome disassembly | nucleus
SORBI_3002G263700	Bromo domain-containing protein	repeat-associated domain	LIN	BP;CC;MF	FA	1	1.214883e-09	1	21.24	38	yes	3	2	64837619	TAT-BINDING HOMOLOG 7 (PTHR23069:SF0)	ATP binding | nucleosome disassembly | nucleus
SORBI_3003G106300	EXPERA domain-containing protein	metabolic enzyme	LIN	BP;CC;MF	PC	1	6.188695e-11	0.948246	20.74	97	yes	6	3	9635439	3-BETA-HYDROXYSTEROID-DELTA(8)DELTA(7)-ISOMERASE-RELATED (PTHR14207:SF6)	cholestenol delta-isomerase activity | endoplasmic reticulum | membrane | steroid Delta-isomerase activity | sterol biosynthetic process | sterol metabolic process
SORBI_3003G106400	EXPERA domain-containing protein	metabolic enzyme	LIN	BP;CC;MF	PC	1	6.188695e-11	0.948246	20.74	97	yes	6	3	9642081	3-BETA-HYDROXYSTEROID-DELTA(8)DELTA(7)-ISOMERASE-RELATED (PTHR14207:SF6)	cholestenol delta-isomerase activity | endoplasmic reticulum | membrane | steroid Delta-isomerase activity | sterol biosynthetic process | sterol metabolic process
SORBI_3003G106600	EXPERA domain-containing protein	metabolic enzyme	LIN	BP;CC;MF	PC;TG	3	6.188695e-11	1	20.74	97	yes	6	3	9654270	EXPERA DOMAIN-CONTAINING PROTEIN (PTHR14207:SF2)	cholestenol delta-isomerase activity | endoplasmic reticulum | membrane | steroid Delta-isomerase activity | sterol biosynthetic process | sterol metabolic process
SORBI_3003G106800	EXPERA domain-containing protein	metabolic enzyme	LIN	BP;CC;MF	PC	1	6.188695e-11	1	20.74	97	yes	6	3	9663902	EXPERA DOMAIN-CONTAINING PROTEIN (PTHR14207:SF2)	cholestenol delta-isomerase activity | endoplasmic reticulum | membrane | steroid Delta-isomerase activity | sterol biosynthetic process | sterol metabolic process
SORBI_3003G107600	EXPERA domain-containing protein	metabolic enzyme	LIN	BP;CC;MF	PC	1	6.188695e-11	1	20.74	97	yes	6	3	9729680	3-BETA-HYDROXYSTEROID-DELTA(8),DELTA(7)-ISOMERASE (PTHR14207:SF0)	cholestenol delta-isomerase activity | endoplasmic reticulum | membrane | steroid Delta-isomerase activity | sterol biosynthetic process | sterol metabolic process
SORBI_3010G214900	4-coumarate--CoA ligase	metabolic enzyme	LIN	BP	FA	3	5.788243e-15	0.916782	19.67	2	yes	1	10	55777184	AMP-BINDING DOMAIN-CONTAINING PROTEIN-RELATED (PTHR24096:SF149)	response to aluminum ion
SORBI_3004G029900	Metal transporter	transport	LIN	BP;CC	FA	2	1.732264e-14	1	19.67	43	yes	3	4	2394975	METAL TRANSPORTER NRAT1 (PTHR11706:SF48)	membrane | plasma membrane | response to aluminum ion
SORBI_3005G011200	Peroxidase	metabolic enzyme	CTL	BP;CC;MF	PA	1	2.013684e-09	0.590244	19.24	2	yes	7	5	997462	PEROXIDASE 52 (PTHR31388:SF24)	cellular oxidant detoxification | extracellular region | hydrogen peroxide catabolic process | lactoperoxidase activity | metal ion binding | peroxidase activity | response to oxidative stress
SORBI_3005G011300	Peroxidase	metabolic enzyme	CTL	BP;CC;MF	PA	1	2.013684e-09	0.590244	19.24	2	yes	7	5	1016821	PEROXIDASE (PTHR31388:SF238)	cellular oxidant detoxification | extracellular region | hydrogen peroxide catabolic process | lactoperoxidase activity | metal ion binding | peroxidase activity | response to oxidative stress
SORBI_3005G011500	Peroxidase	metabolic enzyme	CTL	BP;CC;MF	PA	1	2.013684e-09	0.510546	19.24	2	yes	7	5	1026099	PEROXIDASE (PTHR31388:SF247)	cellular oxidant detoxification | extracellular region | hydrogen peroxide catabolic process | lactoperoxidase activity | metal ion binding | peroxidase activity | response to oxidative stress
SORBI_3006G195000	Probable purine permease	""	LIN	BP;CC;MF	FA	2	2.240513e-17	1	18.97	43	yes	6	6	54796693	PURINE PERMEASE-RELATED (PTHR31376:SF36)	membrane | purine nucleobase transmembrane transport | purine nucleobase transmembrane transporter activity | purine nucleobase transport | purine nucleoside transmembrane transport | purine nucleoside transmembrane transporter activity
SORBI_3006G195100	Probable purine permease	""	LIN	BP;CC;MF	FA	2	2.240513e-17	0.991298	18.97	43	yes	6	6	54802712	PURINE PERMEASE-RELATED (PTHR31376:SF48)	membrane | purine nucleobase transmembrane transport | purine nucleobase transmembrane transporter activity | purine nucleobase transport | purine nucleoside transmembrane transport | purine nucleoside transmembrane transporter activity
SORBI_3006G195200	Probable purine permease	""	LIN	BP;CC;MF	FA	2	2.240513e-17	1	18.97	43	yes	6	6	54823646	PURINE PERMEASE-RELATED (PTHR31376:SF35)	membrane | purine nucleobase transmembrane transport | purine nucleobase transmembrane transporter activity | purine nucleobase transport | purine nucleoside transmembrane transport | purine nucleoside transmembrane transporter activity
SORBI_3004G006600	JmjC domain-containing protein	repeat-associated domain	LIN	CC;MF	AEG;DG;DGDG;FA;GalCer;MG;MGDG;PG;SQDG	17	2.605726e-21	1	18.63	38	yes	2	4	557329	LYSINE-SPECIFIC DEMETHYLASE JMJ25 (PTHR12549:SF11)	nucleus | transcription coregulator activity
SORBI_3003G407200	CG-1 domain-containing protein	repeat-associated domain	LIN	CC;MF	AEG;DG;DGDG;FA;GalCer;MG;MGDG;PC;PG;SQDG	11	2.698367e-17	1	18.63	86	yes	3	3	71482355	OS01G0923600 PROTEIN (PTHR23335:SF35)	DNA binding | nucleus | transcription coregulator activity
SORBI_3001G357500	Amino acid permease_ SLC12A domain-containing protein	transport	CTL	BP;CC;MF	TG	9	1.182781e-12	1	18.4	44	yes	6	1	64728850	CATIONIC AMINO ACID TRANSPORTER (PTHR45826:SF8)	membrane | plasma membrane | polyamine transmembrane transport | polyamine transmembrane transporter activity | transmembrane transport | transmembrane transporter activity
SORBI_3001G357800	Amino acid permease_ SLC12A domain-containing protein	transport	CTL	BP;CC;MF	TG	9	1.182781e-12	0.573141	18.4	44	yes	6	1	64756812	EXPRESSED PROTEIN (PTHR45826:SF22)	membrane | plasma membrane | polyamine transmembrane transport | polyamine transmembrane transporter activity | transmembrane transport | transmembrane transporter activity
SORBI_3001G357700	Amino acid permease_ SLC12A domain-containing protein	transport	CTL	BP;CC;MF	TG	3	5.253493e-10	0.456039	18.4	44	yes	6	1	64746396	EXPRESSED PROTEIN (PTHR45826:SF22)	membrane | plasma membrane | polyamine transmembrane transport | polyamine transmembrane transporter activity | transmembrane transport | transmembrane transporter activity
SORBI_3005G013200	BAH domain-containing protein	repeat-associated domain	CTL	MF	PA	2	5.638375e-10	0.98951	18.35	2	yes	2	5	1184142	PROTEIN ANTI-SILENCING 1 (PTHR47073:SF2)	chromatin binding | nucleic acid binding
SORBI_3003G369200	DNA polymerase	""	CTL;LIN	BP;CC;MF	PA;PC	1	1.358718e-09	0.674694	18.35	86	yes	9	3	68524376	DNA POLYMERASE ALPHA CATALYTIC SUBUNIT (PTHR45861:SF1)	DNA binding | DNA synthesis involved in DNA repair | chromatin binding | lagging strand elongation | mitotic DNA replication initiation | nucleic acid binding | nucleotide binding | nucleus | single-stranded DNA binding
SORBI_3001G033000	Ribosomal RNA methyltransferase FtsJ domain-containing protein	metabolic enzyme	LIN	BP	FA;TG	4	2.359303e-13	0.931602	17.7	2	yes	2	1	2489317	RRNA METHYLTRANSFERASE 2, MITOCHONDRIAL (PTHR10920:SF18)	rRNA methylation | ribosomal large subunit assembly
SORBI_3004G061800	rRNA adenine N(6)-methyltransferase	metabolic enzyme	LIN	BP	FA	2	1.270875e-11	0.57078	17.7	2	yes	1	4	4985794	DIMETHYLADENOSINE TRANSFERASE-RELATED (PTHR11727:SF7)	rRNA methylation
SORBI_3006G046700	Vacuolar protein sorting-associated protein 11 homolog	""	CTL	BP;CC	TG	8	1.619755e-10	0.511298	17.17	10	yes	3	6	32355055	VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 11 HOMOLOG (PTHR23323:SF24)	endomembrane system | intracellular protein transport | vesicle docking involved in exocytosis
SORBI_3007G096900	Rad21_Rec8-like protein N-terminal domain-containing protein	repeat-associated domain	CTL	BP;CC	TG	4	5.403135e-10	0.885933	17.17	50	yes	4	7	18090423	SISTER CHROMATID COHESION 1 PROTEIN 3 (PTHR12585:SF55)	cohesin complex | nucleus | replication-born double-strand break repair via sister chromatid exchange | sister chromatid cohesion
SORBI_3007G097000	Rad21_Rec8-like protein N-terminal domain-containing protein	repeat-associated domain	CTL	BP;CC	TG	4	5.403135e-10	0.741427	17.17	50	yes	4	7	18105181	SISTER CHROMATID COHESION 1 PROTEIN 3 (PTHR12585:SF55)	cohesin complex | nucleus | replication-born double-strand break repair via sister chromatid exchange | sister chromatid cohesion
SORBI_3004G136300	SNARE-interacting protein KEULE	""	CTL	BP;CC	TG	3	5.927103e-10	0.89275	17.17	18	yes	2	4	34695503	PROTEIN ROP (PTHR11679:SF30)	plasma membrane | vesicle docking involved in exocytosis
SORBI_3001G221300	Long-chain-alcohol oxidase	metabolic enzyme	CTL	CC;MF	TG	6	1.102206e-09	0.742031	17.17	44	yes	2	1	20843443	LONG-CHAIN-ALCOHOL OXIDASE (PTHR46056:SF11)	long-chain-alcohol oxidase activity | membrane
SORBI_3001G221400	Long-chain-alcohol oxidase	metabolic enzyme	CTL	CC;MF	TG	6	1.102206e-09	0.72498	17.17	44	yes	2	1	20929906	LONG-CHAIN-ALCOHOL OXIDASE (PTHR46056:SF8)	long-chain-alcohol oxidase activity | membrane
