trait,n_genes_in_rds
PE(18:0_18:2),0
PE(18:0_18:3),1
PE(18:1_18:1),0
PE(18:2_18:2),0
PE(18:2_18:3),0
PE(18:3_18:3),0
PG(16:0_16:0),0
PG(16:0_18:0),0
PG(16:0_18:1),0
PS(18:0_18:2),13
Panaxcerol B,1
Phytosphingosine,0
SM(d18:1_17:0),1
SQDG(16:0_14:0),0
SQDG(16:0_16:0),0
SQDG(16:0_18:1),152
SQDG(16:0_18:2),0
SQDG(16:0_18:3),0
SQDG(16:1_18:3),0
SQDG(18:0_18:3),0
SQDG(18:1_18:3),0
SQDG(18:2_18:3),0
SQDG(18:3_18:3),1
TG(10:0_10:0_10:0),2
TG(10:0_10:0_14:0),0
TG(10:0_12:0_14:0),0
TG(10:0_12:0_16:0),0
TG(10:0_14:0_16:0),0
TG(10:0_16:0_16:0),0
TG(12:0_12:0_12:0),0
TG(12:0_12:0_14:0),0
TG(12:0_12:0_18:1),0
TG(12:0_14:0_16:0),0
TG(12:0_14:0_18:1),0
TG(12:0_16:0_16:0),1
TG(12:0_16:0_18:1),0
TG(12:0_16:0_18:3),0
TG(12:0_18:1_18:3),8
TG(12:0_18:2_18:3),46
TG(14:0_14:0_16:1),0
TG(14:0_14:0_18:0),1
TG(14:0_14:1_18:1),0
TG(14:0_16:0_18:1),0
TG(14:0_16:0_18:2),2
TG(14:0_16:1_18:2),0
TG(14:0_16:1_22:6),0
TG(14:0_18:1_18:1),0
TG(14:0_18:1_18:2),0
TG(14:0_18:1_18:3),0
TG(14:0_18:2_18:3),17
TG(14:0_18:3_18:3),63
TG(16:0_16:0_16:0),0
TG(16:0_16:0_18:1),0
TG(16:0_16:0_20:1),0
TG(16:0_16:0_20:3),0
TG(16:0_18:0_18:2),0
TG(16:0_18:0_22:1),0
TG(16:0_18:1_18:2),0
TG(16:0_18:1_18:3),0
TG(16:0_18:1_20:0),0
TG(16:0_18:1_20:2),0
TG(16:0_18:1_22:0),0
TG(16:0_18:2_18:3),9
TG(16:0_18:2_22:0),1
TG(16:0_18:3_18:3),0
TG(16:1_16:1_22:5),0
TG(16:1_20:1_20:2),6
TG(18:0_18:0_18:2),0
TG(18:0_18:1_18:2),0
TG(18:0_18:1_22:0),0
TG(18:0_18:2_18:2),0
TG(18:0_18:2_18:3),0
TG(18:0_18:2_20:1),0
TG(18:0_18:2_22:0),0
TG(18:1_18:1_18:1),0
TG(18:1_18:1_18:2),0
TG(18:1_18:1_20:3),0
TG(18:1_18:2_18:2),10
TG(18:1_18:2_18:3),0
TG(18:1_18:2_22:0),4
TG(18:1_18:3_22:0),1
TG(18:1_20:3_22:0),0
TG(18:2_18:2_18:4),5
TG(18:2_18:2_22:1),0
TG(18:2_18:3_20:1),4
TG(18:2_18:3_20:3),3
TG(18:2_18:3_22:1),5
TG(18:2_20:2_22:2),28
TG(18:2_20:3_22:0),14
TG(18:3_18:3_18:3),15
TG(18:3_18:3_20:3),0
TG(8:0_10:0_10:0),2
Ubidecarenone,2
Ubiquinone 9,0
Vitamin K1,0
Zeaxanthin,0
alpha-Tocopherol,3
beta-Carotene,0
gamma-sitosterol,0
gibberellic acid,0
oxobutanoic acid,0
