trait,n_genes_in_rds
Sum_LPC_over_MG_log10ratio,0
Sum_LPC_over_PA_log10ratio,0
Sum_LPC_over_PC_log10ratio,0
Sum_LPC_over_PE_log10ratio,0
Sum_LPC_over_PG_log10ratio,4
Sum_LPC_over_PS_log10ratio,0
Sum_LPC_over_TG_log10ratio,0
Sum_LPE_over_AEG_log10ratio,0
Sum_LPE_over_Cer_log10ratio,0
Sum_LPE_over_DG_log10ratio,0
Sum_LPE_over_FA_log10ratio,0
Sum_LPE_over_MG_log10ratio,0
Sum_LPE_over_PA_log10ratio,0
Sum_LPE_over_PC_log10ratio,0
Sum_LPE_over_PE_log10ratio,0
Sum_LPE_over_PG_log10ratio,0
Sum_LPE_over_PS_log10ratio,0
Sum_LPE_over_TG_log10ratio,0
Sum_MGDG_over_AEG_log10ratio,0
Sum_MGDG_over_Cer_log10ratio,0
Sum_MGDG_over_DG_log10ratio,0
Sum_MGDG_over_FA_log10ratio,46
Sum_MGDG_over_GalCer_log10ratio,0
Sum_MGDG_over_LPC_log10ratio,0
Sum_MGDG_over_LPE_log10ratio,0
Sum_MGDG_over_MG_log10ratio,0
Sum_MGDG_over_PA_log10ratio,0
Sum_MGDG_over_PC_log10ratio,0
Sum_MGDG_over_PE_log10ratio,0
Sum_MGDG_over_PG_log10ratio,0
Sum_MGDG_over_PS_log10ratio,6
Sum_MGDG_over_SQDG_log10ratio,0
Sum_MGDG_over_TG_log10ratio,0
Sum_MG_over_PA_log10ratio,0
Sum_MG_over_PC_log10ratio,0
Sum_MG_over_PE_log10ratio,0
Sum_MG_over_PG_log10ratio,0
Sum_MG_over_PS_log10ratio,6
Sum_PA_over_PS_log10ratio,0
Sum_PC_over_PA_log10ratio,0
Sum_PC_over_PE_log10ratio,0
Sum_PC_over_PG_log10ratio,0
Sum_PC_over_PS_log10ratio,0
Sum_PE_over_PA_log10ratio,0
Sum_PE_over_PG_log10ratio,0
Sum_PE_over_PS_log10ratio,0
Sum_PG_over_PA_log10ratio,0
Sum_PG_over_PS_log10ratio,0
Sum_SQDG_over_AEG_log10ratio,0
Sum_SQDG_over_Cer_log10ratio,0
Sum_SQDG_over_DG_log10ratio,0
Sum_SQDG_over_FA_log10ratio,57
Sum_SQDG_over_GalCer_log10ratio,0
Sum_SQDG_over_LPC_log10ratio,0
Sum_SQDG_over_LPE_log10ratio,0
Sum_SQDG_over_MG_log10ratio,0
Sum_SQDG_over_PA_log10ratio,0
Sum_SQDG_over_PC_log10ratio,0
Sum_SQDG_over_PE_log10ratio,0
Sum_SQDG_over_PG_log10ratio,0
Sum_SQDG_over_PS_log10ratio,0
Sum_SQDG_over_TG_log10ratio,0
Sum_TG_over_DG_log10ratio,0
Sum_TG_over_MG_log10ratio,0
Sum_TG_over_PA_log10ratio,0
Sum_TG_over_PC_log10ratio,0
Sum_TG_over_PE_log10ratio,0
Sum_TG_over_PG_log10ratio,0
Sum_TG_over_PS_log10ratio,0
TG,0
