condition	layer	GeneID	GeneName	Family_Sufamily	ProteinClass	GO_MF	GO_BP	Chromosome	Gene_Start	Gene_End	Best_P_Value	N_sig_SNPs	Max_r2	N_Phenotypes	Phenotypes	GO_CC
CTL	individual	SORBI_3006G049600	Methyltransferase type 11 domain-containing protein	EEF1A LYSINE AND N-TERMINAL METHYLTRANSFERASE (PTHR12176:SF78)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);protein-lysine N-methyltransferase activity(GO:0016279);transferase activity(GO:0016740)	methylation(GO:0032259)	6	35879991	35916918	1.18068e-14	10	1	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	""
CTL	individual	SORBI_3004G130001	Uncharacterized protein	""	""	""	""	4	16576734	16581161	3.199565e-14	4	1	9	TG(10:0_10:0_10:0); TG(10:0_16:1_18:1); TG(12:0_12:0_16:1); TG(12:0_12:0_18:2); TG(12:0_14:0_18:3); TG(12:0_16:0_18:2); TG(12:0_18:1_18:1); TG(12:0_18:1_18:2); TG(14:0_18:1_18:2)	""
CTL	individual	SORBI_3008G131200	Uncharacterized protein	EXPRESSED PROTEIN (PTHR31676:SF10)	""	""	""	8	55707544	55714682	6.204077e-14	1	0.575504	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	""
CTL	individual	SORBI_3008G131300	Pectinesterase	PECTINESTERASE (PTHR31321:SF81)	hydrolase(PC00121)	hydrolase activity(GO:0016787);pectinesterase activity(GO:0030599)	cell wall modification(GO:0042545);pectin catabolic process(GO:0045490)	8	55716132	55718008	6.204077e-14	1	0.519377	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	""
CTL	individual	SORBI_3008G131400	Uncharacterized protein	MYB TRANSCRIPTION FACTOR (PTHR45675:SF49)	homeodomain transcription factor(PC00119)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355)	8	55724538	55727053	6.204077e-14	1	0.440433	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	nucleus(GO:0005634)
CTL	individual	SORBI_3008G131500	Ubiquitin-like protease family profile domain-containing protein	UBIQUITIN-LIKE PROTEASE FAMILY PROFILE DOMAIN-CONTAINING PROTEIN (PTHR12606:SF150)	protease(PC00190)	peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787);deSUMOylase activity(GO:0016929)	proteolysis(GO:0006508);protein desumoylation(GO:0016926)	8	55748818	55755548	6.204077e-14	1	0.804644	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	nucleus(GO:0005634)
CTL	individual	SORBI_3008G131550	Myb_SANT-like domain-containing protein	""	""	""	""	8	55770605	55772020	6.204077e-14	1	0.804348	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	""
CTL	individual	SORBI_3008G131601	Ubiquitin-like protease family profile domain-containing protein	""	""	""	""	8	55772437	55777903	6.204077e-14	1	0.847077	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	""
CTL	individual	SORBI_3008G131651	Ubiquitin-like protease family profile domain-containing protein	""	""	peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	8	55778011	55779979	6.204077e-14	1	0.821618	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	""
CTL	individual	SORBI_3008G131700	PsbP C-terminal domain-containing protein	PSBP DOMAIN-CONTAINING PROTEIN 1, CHLOROPLASTIC (PTHR31407:SF15)	""	calcium ion binding(GO:0005509)	photosynthesis(GO:0015979);photosystem I assembly(GO:0048564)	8	55795932	55802267	6.204077e-14	1	0.821108	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	photosystem II(GO:0009523);chloroplast thylakoid membrane(GO:0009535);chloroplast thylakoid lumen(GO:0009543);photosystem II oxygen evolving complex(GO:0009654);extrinsic component of membrane(GO:0019898)
CTL	individual	SORBI_3008G131800	CCHC-type domain-containing protein	RIBOSOME QUALITY CONTROL COMPLEX SUBUNIT NEMF (PTHR15239:SF6)	""	tRNA binding(GO:0000049);nucleic acid binding(GO:0003676);zinc ion binding(GO:0008270);ribosomal large subunit binding(GO:0043023)	rescue of stalled ribosome(GO:0072344);ribosome-associated ubiquitin-dependent protein catabolic process(GO:1990116)	8	55801939	55815614	6.204077e-14	1	0.877199	10	TG(16:0_16:0_18:1); TG(16:0_16:0_20:1); TG(16:0_18:0_18:2); TG(16:0_18:1_18:1); TG(16:0_18:1_18:2); TG(16:0_18:1_20:0); TG(16:0_18:1_20:1); TG(16:0_18:1_20:2); TG(16:1_18:1_18:1); TG(18:0_18:2_18:2)	cytoplasm(GO:0005737);RQC complex(GO:1990112)
