condition,layer,GeneID,trait,max_r2,best_p
CTL,individual,SORBI_3001G223300,TG(16:0_18:1_20:0),0.9208,3.182524e-09
CTL,individual,SORBI_3001G223300,TG(16:0_18:1_20:1),1,2.441501e-09
CTL,individual,SORBI_3001G223300,TG(16:1_18:1_18:1),1,2.406744e-10
CTL,individual,SORBI_3001G223300,TG(18:0_18:2_18:2),1,6.298777e-10
CTL,individual,SORBI_3001G223300,TG(18:1_18:2_18:2),0.974763,1.624745e-09
CTL,individual,SORBI_3001G223550,TG(16:0_16:0_18:1),0.81956,1.17199e-09
CTL,individual,SORBI_3001G223550,TG(16:0_16:0_20:1),0.81956,1.811671e-10
CTL,individual,SORBI_3001G223550,TG(16:0_18:0_18:2),0.81956,2.726615e-09
CTL,individual,SORBI_3001G223550,TG(16:0_18:1_18:1),0.81956,5.926186e-10
CTL,individual,SORBI_3001G223550,TG(16:0_18:1_18:2),0.530731,7.079967e-11
CTL,individual,SORBI_3001G223550,TG(16:0_18:1_20:0),0.81956,3.182524e-09
CTL,individual,SORBI_3001G223550,TG(16:0_18:1_20:1),0.81956,2.441501e-09
CTL,individual,SORBI_3001G223550,TG(16:1_18:1_18:1),0.81956,2.406744e-10
CTL,individual,SORBI_3001G223550,TG(18:0_18:2_18:2),0.81956,6.298777e-10
CTL,individual,SORBI_3001G223550,TG(18:1_18:2_18:2),0.748649,1.624745e-09
CTL,individual,SORBI_3001G224000,TG(16:0_16:0_18:1),0.675651,1.17199e-09
CTL,individual,SORBI_3001G224000,TG(16:0_16:0_20:1),0.797269,1.811671e-10
CTL,individual,SORBI_3001G224000,TG(16:0_18:0_18:2),0.675651,2.726615e-09
CTL,individual,SORBI_3001G224000,TG(16:0_18:1_18:1),0.797269,5.926186e-10
CTL,individual,SORBI_3001G224000,TG(16:0_18:1_18:2),0.602755,7.079967e-11
CTL,individual,SORBI_3001G224000,TG(16:0_18:1_20:0),0.675651,3.182524e-09
CTL,individual,SORBI_3001G224000,TG(16:0_18:1_20:1),0.797269,2.441501e-09
CTL,individual,SORBI_3001G224000,TG(16:1_18:1_18:1),0.797269,2.406744e-10
CTL,individual,SORBI_3001G224000,TG(18:0_18:2_18:2),0.797269,6.298777e-10
CTL,individual,SORBI_3001G224000,TG(18:1_18:2_18:2),0.660153,1.624745e-09
CTL,individual,SORBI_3001G224200,TG(16:0_16:0_20:1),0.470293,6.39437e-10
CTL,individual,SORBI_3001G224200,TG(16:0_18:1_18:1),0.470293,1.387518e-09
CTL,individual,SORBI_3001G224200,TG(16:0_18:1_20:1),0.470293,7.916768e-09
CTL,individual,SORBI_3001G224200,TG(16:1_18:1_18:1),0.470293,6.909609e-09
CTL,individual,SORBI_3001G224200,TG(18:0_18:2_18:2),0.470293,1.285013e-09
CTL,individual,SORBI_3001G224300,TG(16:0_16:0_20:1),0.413618,6.39437e-10
CTL,individual,SORBI_3001G224300,TG(16:0_18:1_18:1),0.413618,1.387518e-09
CTL,individual,SORBI_3001G224300,TG(16:0_18:1_20:1),0.413618,7.916768e-09
CTL,individual,SORBI_3001G224300,TG(16:1_18:1_18:1),0.413618,6.909609e-09
CTL,individual,SORBI_3001G224300,TG(18:0_18:2_18:2),0.413618,1.285013e-09
CTL,individual,SORBI_3001G225700,TG(16:0_16:0_18:1),0.453711,5.372328e-09
CTL,individual,SORBI_3001G225700,TG(16:0_16:0_20:1),0.453711,1.811671e-10
CTL,individual,SORBI_3001G225700,TG(16:0_18:0_18:2),0.453711,2.726615e-09
CTL,individual,SORBI_3001G225700,TG(16:0_18:1_18:1),0.453711,5.926186e-10
CTL,individual,SORBI_3001G225700,TG(16:0_18:1_20:0),0.453711,3.182524e-09
CTL,individual,SORBI_3001G225700,TG(16:0_18:1_20:1),0.453711,2.441501e-09
CTL,individual,SORBI_3001G225700,TG(16:1_18:1_18:1),0.453711,3.932304e-09
CTL,individual,SORBI_3001G225700,TG(18:0_18:2_18:2),0.453711,6.298777e-10
CTL,individual,SORBI_3001G225700,TG(18:1_18:2_18:2),0.441526,4.56113e-09
CTL,individual,SORBI_3001G247600,PC(16:1_16:1),0.43954,3.424946e-09
CTL,individual,SORBI_3001G247700,PC(16:1_16:1),0.676339,3.424946e-09
CTL,individual,SORBI_3001G247800,PC(16:1_16:1),0.668837,3.424946e-09
CTL,individual,SORBI_3001G247900,PC(16:1_16:1),0.590188,3.424946e-09
CTL,individual,SORBI_3001G248000,PC(16:1_16:1),0.582434,3.424946e-09
CTL,individual,SORBI_3001G248100,PC(16:1_16:1),0.708647,3.424946e-09
CTL,individual,SORBI_3001G248200,PC(16:1_16:1),0.568666,3.424946e-09
CTL,individual,SORBI_3001G248300,PC(16:1_16:1),0.582546,3.424946e-09
CTL,individual,SORBI_3001G254200,TG(16:0_16:0_18:1),0.872856,1.981263e-10
CTL,individual,SORBI_3001G254200,TG(16:0_16:0_20:1),0.876033,5.712934e-12
CTL,individual,SORBI_3001G254200,TG(16:0_18:0_18:2),0.872856,1.064637e-10
CTL,individual,SORBI_3001G254200,TG(16:0_18:1_18:1),0.881346,9.940457e-12
CTL,individual,SORBI_3001G254200,TG(16:0_18:1_18:2),0.872856,5.31203e-10
CTL,individual,SORBI_3001G254200,TG(16:0_18:1_20:0),0.872856,6.386481e-10
CTL,individual,SORBI_3001G254200,TG(16:0_18:1_20:1),0.872856,6.813744e-11
CTL,individual,SORBI_3001G254200,TG(16:0_18:1_20:2),0.720975,3.176068e-09
CTL,individual,SORBI_3001G254200,TG(16:1_18:1_18:1),0.872856,6.17092e-11
CTL,individual,SORBI_3001G254200,TG(18:0_18:2_18:2),0.872856,4.296904e-11
CTL,individual,SORBI_3001G254300,TG(16:0_16:0_18:1),0.872856,1.981263e-10
CTL,individual,SORBI_3001G254300,TG(16:0_16:0_20:1),0.875211,5.712934e-12
CTL,individual,SORBI_3001G254300,TG(16:0_18:0_18:2),0.872856,1.064637e-10
CTL,individual,SORBI_3001G254300,TG(16:0_18:1_18:1),0.878997,9.940457e-12
CTL,individual,SORBI_3001G254300,TG(16:0_18:1_18:2),0.872856,5.31203e-10
CTL,individual,SORBI_3001G254300,TG(16:0_18:1_20:0),0.872856,6.386481e-10
CTL,individual,SORBI_3001G254300,TG(16:0_18:1_20:1),0.872856,6.813744e-11
CTL,individual,SORBI_3001G254300,TG(16:1_18:1_18:1),0.872856,6.17092e-11
CTL,individual,SORBI_3001G254300,TG(18:0_18:2_18:2),0.872856,4.296904e-11
CTL,individual,SORBI_3001G254400,TG(16:0_16:0_18:1),0.865269,1.981263e-10
CTL,individual,SORBI_3001G254400,TG(16:0_16:0_20:1),0.870896,5.712934e-12
CTL,individual,SORBI_3001G254400,TG(16:0_18:0_18:2),0.865269,1.064637e-10
CTL,individual,SORBI_3001G254400,TG(16:0_18:1_18:1),0.870896,9.940457e-12
