GeneID	GeneName	Family_SubFamily	Protein_class	GO_MF	GO_BP	GO_CC	Chromosome	Gene_Start	Gene_End	Best_P_Value	N_sig_SNPs	Max_r2	N_Phenotypes	Phenotypes
SORBI_3004G006966	Uncharacterized protein	DENEDDYLASE (PTHR35694:SF1)	""	""	""	""	4	592551	597048	2.605726e-21	81	0.978481	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007032	Uncharacterized protein	""	""	""	""	""	4	616824	618511	2.605726e-21	74	0.956971	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007100	Uncharacterized protein	""	""	""	""	""	4	618536	624413	2.605726e-21	81	0.946389	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007133	FACT complex subunit	FACT COMPLEX SUBUNIT SPT16 (PTHR13980:SF15)	chromatin/chromatin-binding, or -regulatory protein(PC00077)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);GTP binding(GO:0005525);hydrolase activity(GO:0016787);nucleosome binding(GO:0031491)	DNA replication(GO:0006260);DNA repair(GO:0006281);nucleosome disassembly(GO:0006337);DNA damage response(GO:0006974);regulation of DNA-templated transcription elongation(GO:0032784)	nucleus(GO:0005634);chromosome(GO:0005694);FACT complex(GO:0035101)	4	625847	638342	2.605726e-21	81	0.97799	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007200	Secreted protein	""	""	""	""	""	4	637861	642805	2.605726e-21	81	0.988915	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007300	Uncharacterized protein	""	""	""	""	""	4	646027	651065	2.605726e-21	74	0.946432	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007400	CCT domain-containing protein	""	""	""	""	nucleus(GO:0005634)	4	659396	662379	2.605726e-21	66	0.956571	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007500	Uncharacterized protein	INACTIVE LINOLENATE HYDROPEROXIDE LYASE-RELATED (PTHR24286:SF49)	oxygenase(PC00177)	monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);allene oxide synthase activity(GO:0009978);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);lyase activity(GO:0016829);heme binding(GO:0020037);metal ion binding(GO:0046872)	lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);fatty acid biosynthetic process(GO:0006633);carboxylic acid metabolic process(GO:0019752);oxylipin biosynthetic process(GO:0031408)	""	4	665105	667038	2.605726e-21	84	0.98167	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007600	Glycosyltransferase	BETA-1,2-XYLOSYLTRANSFEREASE XAX1 (PTHR20961:SF27)	glycosyltransferase(PC00111)	transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);pentosyltransferase activity(GO:0016763);UDP-xylosyltransferase activity(GO:0035252)	plant-type cell wall organization(GO:0009664)	Golgi membrane(GO:0000139)	4	678310	681085	2.605726e-21	27	0.58438	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G007800	Protein kinase domain-containing protein	RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE NCRK (PTHR27001:SF782)	""	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);GTPase binding(GO:0051020)	signal transduction(GO:0007165);xylem development(GO:0010089)	endosome(GO:0005768);plasma membrane(GO:0005886);endosome membrane(GO:0010008);endomembrane system(GO:0012505)	4	689918	693989	2.605726e-21	27	0.654122	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G008300							4	733525	734761	2.605726e-21	26	0.786852	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G008400							4	737647	740142	2.605726e-21	28	0.829654	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G008500							4	740912	742790	2.605726e-21	28	0.846942	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G008800							4	763419	764817	2.605726e-21	28	0.796367	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G008900	aldehyde oxygenase (deformylating)	ALDEHYDE OXYGENASE (DEFORMYLATING) (PTHR11863:SF152)	oxidase(PC00175)	iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);lyase activity(GO:0016829);aldehyde oxygenase (deformylating) activity(GO:0071771)	lipid biosynthetic process(GO:0008610)	endoplasmic reticulum membrane(GO:0005789)	4	769869	771113	2.605726e-21	28	0.810497	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G009000	Uncharacterized protein	OS02G0111900 PROTEIN (PTHR47957:SF2)	""	nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);ATP binding(GO:0005524);3'-5' DNA helicase activity(GO:0043138)	nucleotide-excision repair(GO:0006289);interstrand cross-link repair(GO:0036297)	nucleus(GO:0005634)	4	771148	774672	2.605726e-21	28	0.79466	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3004G009100	Protein FAM32A-like	PROTEIN FAM32A (PTHR13282:SF6)	""	""	""	nucleolus(GO:0005730)	4	777269	780862	2.605726e-21	28	0.796367	20	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PA_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3003G087000	Uncharacterized protein	TRANSMEMBRANE PROTEIN 214 (PTHR13448:SF0)	""	""	""	endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);Golgi apparatus(GO:0005794)	3	7543557	7549750	4.464413e-20	51	0.826015	19	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
SORBI_3003G087100	Protein MAO HUZI 4, chloroplastic	PROTEIN ABA DEFICIENT 4, CHLOROPLASTIC (PTHR34543:SF1)	""	""	abscisic acid biosynthetic process(GO:0009688);xanthophyll biosynthetic process(GO:0016123)	chloroplast envelope(GO:0009941)	3	7549923	7551848	4.464413e-20	51	0.83767	19	FA; Sum_AEG_over_FA_log10safe; Sum_DGDG_over_FA_log10safe; Sum_FA_over_AEG_log10safe; Sum_FA_over_DG_log10safe; Sum_FA_over_DGDG_log10safe; Sum_FA_over_GalCer_log10safe; Sum_FA_over_MG_log10safe; Sum_FA_over_MGDG_log10safe; Sum_FA_over_PC_log10safe; Sum_FA_over_PE_log10safe; Sum_FA_over_PG_log10safe; Sum_FA_over_SM_log10safe; Sum_FA_over_SQDG_log10safe; Sum_MG_over_FA_log10safe; Sum_MGDG_over_FA_log10safe; Sum_PC_over_FA_log10safe; Sum_SM_over_FA_log10safe; Sum_SQDG_over_FA_log10safe
