GeneID	GeneName	Flag	Conditions	Ontologies	Classes	Max_recurrence	Best_GWAS_p	Max_r2	Max_fold	Max_intervals	Specific	N_terms	Chr	Start	Family	Terms
SORBI_3010G124800	Protein kinase domain-containing protein	metabolic enzyme	LIN	BP/MF	SQDG	1	5.991652e-11	0.731	11.1	2	single locus	4	10	15203779	OS07G0130100 PROTEIN (PTHR27007:SF169)	LIN:SQDG:cell surface receptor protein serine/threonine kinase signaling pathway; LIN:SQDG:defense response to oomycetes; LIN:SQDG:negative regulation of response to salt stress; LIN:SQDG:transmembrane receptor protein serine/threonine kinase activity
SORBI_3010G127200	Protein kinase domain-containing protein	metabolic enzyme	LIN	BP/MF	SQDG	1	9.595744e-11	0.573	11.1	2	single locus	4	10	16100827	LECTIN-LIKE RECEPTOR PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR27007:SF150)	LIN:SQDG:cell surface receptor protein serine/threonine kinase signaling pathway; LIN:SQDG:defense response to oomycetes; LIN:SQDG:negative regulation of response to salt stress; LIN:SQDG:transmembrane receptor protein serine/threonine kinase activity
SORBI_3010G127300	Protein kinase domain-containing protein	metabolic enzyme	LIN	BP/MF	SQDG	1	9.595744e-11	0.568	11.1	2	single locus	4	10	16104084	LECTIN-LIKE RECEPTOR PROTEIN KINASE FAMILY PROTEIN-RELATED (PTHR27007:SF28)	LIN:SQDG:cell surface receptor protein serine/threonine kinase signaling pathway; LIN:SQDG:defense response to oomycetes; LIN:SQDG:negative regulation of response to salt stress; LIN:SQDG:transmembrane receptor protein serine/threonine kinase activity
SORBI_3010G198000	tryptophan synthase	metabolic enzyme	CTL	MF	TG	1	1.428977e-09	0.442	3.6	6	yes	1	10	54112865	TRYPTOPHAN SYNTHASE (PTHR48077:SF6)	CTL:TG:pyridoxal phosphate binding
SORBI_3008G005300	Aminotransferase class I_classII domain-containing protein	metabolic enzyme	CTL	MF	TG	1	2.103137e-09	0.715	3.6	6	yes	1	8	477308		CTL:TG:pyridoxal phosphate binding
SORBI_3001G434900	Aminotransferase class I_classII domain-containing protein	metabolic enzyme	LIN	BP	AEG	1	6.692627e-09	0.512	32.5	3	yes	1	1	71347437	SERINE PALMITOYLTRANSFERASE 1 (PTHR13693:SF2)	LIN:AEG:sphingolipid metabolic process
SORBI_3001G260701	alanine transaminase	metabolic enzyme	CTL	MF	TG	1	7.811029e-09	0.803	4.7	6	yes	2	1	31879602		CTL:TG:pyridoxal phosphate binding; CTL:TG:transaminase activity
SORBI_3009G152800	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL	BP	AEG/PE	53	4.936576e-11	0.433	3.8	6	yes	2	9	50914823	OS07G0131250 PROTEIN (PTHR23500:SF478)	CTL:AEG:transmembrane transport; CTL:PE:transmembrane transport
SORBI_3010G151000	CMP-sialic acid transporter 1	transport	CTL/LIN	BP	AEG/FA/PE	34	1.414634e-13	1.0	3.8	22	yes	3	10	43625333	UDP-SUGAR TRANSPORTER PROTEIN SLC35A4-RELATED (PTHR10231:SF43)	CTL:AEG:transmembrane transport; CTL:PE:transmembrane transport; LIN:FA:transmembrane transport
SORBI_3002G218700	Mitochondrial carrier protein	transport	CTL	BP	AEG/PE	22	7.642133e-27	0.604	3.8	6	yes	2	2	61051703	OS09G0444700 PROTEIN (PTHR46080:SF21)	CTL:AEG:transmembrane transport; CTL:PE:transmembrane transport
SORBI_3003G169600	Mitochondrial carrier protein	transport	LIN	BP	PC	12	6.983884e-67	1.0	7.9	2	single locus	1	3	29128352	MITOCHONDRIAL NICOTINAMIDE ADENINE DINUCLEOTIDE TRANSPORTER 1-RELATED (PTHR45683:SF2)	LIN:PC:nucleotide transport
SORBI_3008G105500	Ureide permease 4	transport	CTL/LIN	MF	TG	11	4.627337e-14	0.939	2.0	20	yes	2	8	49760626	OS12G0503000 PROTEIN (PTHR31081:SF3)	CTL:TG:transmembrane transporter activity; LIN:TG:transmembrane transporter activity
SORBI_3001G223200	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL	MF	TG	10	7.079967e-11	0.948	2.0	14	yes	1	1	21379629	OS10G0469900 PROTEIN (PTHR11654:SF115)	CTL:TG:transmembrane transporter activity
SORBI_3001G357500	Amino acid permease_ SLC12A domain-containing protein	transport	CTL	MF	TG	9	1.182781e-12	1.0	2.0	14	yes	1	1	64728850	CATIONIC AMINO ACID TRANSPORTER (PTHR45826:SF8)	CTL:TG:transmembrane transporter activity
SORBI_3001G357800	Amino acid permease_ SLC12A domain-containing protein	transport	CTL	MF	TG	9	1.182781e-12	0.591	2.0	14	yes	1	1	64756812	EXPRESSED PROTEIN (PTHR45826:SF22)	CTL:TG:transmembrane transporter activity
SORBI_3008G081400	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL/LIN	BP/MF	FA/TG	7	4.496153e-33	0.965	2.2	22	yes	5	8	14480361	MAJOR FACILITATOR SUPERFAMILY (MFS) PROFILE DOMAIN-CONTAINING PROTEIN (PTHR11654:SF377)	CTL:TG:transmembrane transporter activity; LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:TG:transmembrane transporter activity
SORBI_3008G081200	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL/LIN	MF	TG	7	4.496153e-33	0.953	2.0	20	yes	2	8	14313689	OS12G0231000 PROTEIN (PTHR11654:SF21)	CTL:TG:transmembrane transporter activity; LIN:TG:transmembrane transporter activity
SORBI_3006G195000	Probable purine permease	transport	LIN	BP/MF	DG/FA/SM/SQDG	6	2.240513e-17	1.0	63.6	22	yes	29	6	54796693	PURINE PERMEASE-RELATED (PTHR31376:SF36)	LIN:DG:purine nucleobase transmembrane transport; LIN:DG:purine nucleobase transmembrane transporter activity; LIN:DG:purine nucleobase transport; LIN:DG:purine nucleoside transmembrane transport; LIN:DG:purine nucleoside transmembrane transporter activity; LIN:FA:purine nucleobase transmembrane transport; LIN:FA:purine nucleobase transmembrane transporter activity; LIN:FA:purine nucleobase transport; LIN:FA:purine nucleoside transmembrane transport; LIN:FA:purine nucleoside transmembrane transporter activity; LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:SM:purine nucleobase transmembrane transport; LIN:SM:purine nucleobase transmembrane transporter activity; LIN:SM:purine nucleobase transport; LIN:SM:purine nucleoside transmembrane transport; LIN:SM:purine nucleoside transmembrane transporter activity; LIN:SQDG:purine nucleobase transmembrane transport; LIN:SQDG:purine nucleobase transmembrane transporter activity; LIN:SQDG:purine nucleobase transport; LIN:SQDG:purine nucleoside transmembrane transport; LIN:SQDG:purine nucleoside transmembrane transporter activity; LIN:SQDG:transmembrane transporter activity
SORBI_3006G195100	Probable purine permease	transport	LIN	BP/MF	DG/FA/SM/SQDG	6	2.240513e-17	0.992	63.6	22	yes	29	6	54802712	PURINE PERMEASE-RELATED (PTHR31376:SF48)	LIN:DG:purine nucleobase transmembrane transport; LIN:DG:purine nucleobase transmembrane transporter activity; LIN:DG:purine nucleobase transport; LIN:DG:purine nucleoside transmembrane transport; LIN:DG:purine nucleoside transmembrane transporter activity; LIN:FA:purine nucleobase transmembrane transport; LIN:FA:purine nucleobase transmembrane transporter activity; LIN:FA:purine nucleobase transport; LIN:FA:purine nucleoside transmembrane transport; LIN:FA:purine nucleoside transmembrane transporter activity; LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:SM:purine nucleobase transmembrane transport; LIN:SM:purine nucleobase transmembrane transporter activity; LIN:SM:purine nucleobase transport; LIN:SM:purine nucleoside transmembrane transport; LIN:SM:purine nucleoside transmembrane transporter activity; LIN:SQDG:purine nucleobase transmembrane transport; LIN:SQDG:purine nucleobase transmembrane transporter activity; LIN:SQDG:purine nucleobase transport; LIN:SQDG:purine nucleoside transmembrane transport; LIN:SQDG:purine nucleoside transmembrane transporter activity; LIN:SQDG:transmembrane transporter activity
SORBI_3006G195200	Probable purine permease	transport	LIN	BP/MF	DG/FA/SM/SQDG	6	2.240513e-17	1.0	63.6	22	yes	29	6	54823646	PURINE PERMEASE-RELATED (PTHR31376:SF35)	LIN:DG:purine nucleobase transmembrane transport; LIN:DG:purine nucleobase transmembrane transporter activity; LIN:DG:purine nucleobase transport; LIN:DG:purine nucleoside transmembrane transport; LIN:DG:purine nucleoside transmembrane transporter activity; LIN:FA:purine nucleobase transmembrane transport; LIN:FA:purine nucleobase transmembrane transporter activity; LIN:FA:purine nucleobase transport; LIN:FA:purine nucleoside transmembrane transport; LIN:FA:purine nucleoside transmembrane transporter activity; LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:SM:purine nucleobase transmembrane transport; LIN:SM:purine nucleobase transmembrane transporter activity; LIN:SM:purine nucleobase transport; LIN:SM:purine nucleoside transmembrane transport; LIN:SM:purine nucleoside transmembrane transporter activity; LIN:SQDG:purine nucleobase transmembrane transport; LIN:SQDG:purine nucleobase transmembrane transporter activity; LIN:SQDG:purine nucleobase transport; LIN:SQDG:purine nucleoside transmembrane transport; LIN:SQDG:purine nucleoside transmembrane transporter activity; LIN:SQDG:transmembrane transporter activity
SORBI_3006G279700	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL	MF	TG	6	2.544716e-10	0.411	2.0	14	yes	1	6	60990032	OS08G0527700 PROTEIN (PTHR11654:SF172)	CTL:TG:transmembrane transporter activity
SORBI_3002G116100	H(+)_Pi cotransporter	transport	LIN	MF	TG	5	1.146277e-09	0.866	1.9	20	yes	1	2	14357795	H(+)_PI COTRANSPORTER (PTHR24064:SF520)	LIN:TG:transmembrane transporter activity
SORBI_3004G009400	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP/MF	FA/SQDG	3	4.92621e-15	0.977	31.0	22	yes	10	4	803924	HIGH-AFFINITY NITRATE TRANSPORTER 2.1-RELATED (PTHR23515:SF29)	LIN:FA:nitrate assimilation; LIN:FA:nitrate transmembrane transporter activity; LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:SQDG:nitrate assimilation; LIN:SQDG:nitrate transmembrane transport; LIN:SQDG:nitrate transmembrane transporter activity; LIN:SQDG:transmembrane transporter activity
SORBI_3004G009500	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP/MF	FA/SQDG	3	4.92621e-15	0.679	31.0	22	yes	10	4	814200	HIGH-AFFINITY NITRATE TRANSPORTER 2.1-RELATED (PTHR23515:SF29)	LIN:FA:nitrate assimilation; LIN:FA:nitrate transmembrane transporter activity; LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:SQDG:nitrate assimilation; LIN:SQDG:nitrate transmembrane transport; LIN:SQDG:nitrate transmembrane transporter activity; LIN:SQDG:transmembrane transporter activity
SORBI_3001G169100	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL/LIN	BP/MF	AEG/FA/PE/SQDG	3	2.978268e-14	0.83	3.8	22	yes	6	1	14072526	ANION TRANSPORTER 5-RELATED (PTHR11662:SF282)	CTL:AEG:transmembrane transport; CTL:PE:transmembrane transport; LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:SQDG:transmembrane transporter activity
SORBI_3001G100800	Folate transporter 1	transport	LIN	BP	FA/PC	3	7.419754e-14	0.981	7.9	22	yes	2	1	7678812	MITOCHONDRIAL FOLATE TRANSPORTER_CARRIER (PTHR45683:SF3)	LIN:FA:transmembrane transport; LIN:PC:nucleotide transport
SORBI_3001G101100	Folate transporter 1, chloroplastic	transport	LIN	BP	FA/PC	3	7.419754e-14	0.909	7.9	22	yes	2	1	7725812	MITOCHONDRIAL FOLATE TRANSPORTER_CARRIER (PTHR45683:SF3)	LIN:FA:transmembrane transport; LIN:PC:nucleotide transport
SORBI_3001G031700	Nucleobase-ascorbate transporter 6	transport	LIN	BP/MF	FA/TG	3	9.303456e-14	0.614	2.2	22	yes	4	1	2408109	OS03G0823800 PROTEIN (PTHR11119:SF84)	LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:TG:transmembrane transporter activity
SORBI_3001G032200	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP/MF	FA/TG	3	9.303456e-14	0.768	2.2	22	yes	4	1	2447498	D-XYLOSE-PROTON SYMPORTER-LIKE 3, CHLOROPLASTIC (PTHR48023:SF6)	LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:TG:transmembrane transporter activity
SORBI_3004G009200	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP/MF	FA/SQDG	3	1.131737e-10	0.531	31.0	22	yes	10	4	788283	NITRATE TRANSPORT3 (PTHR23515:SF17)	LIN:FA:nitrate assimilation; LIN:FA:nitrate transmembrane transporter activity; LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:SQDG:nitrate assimilation; LIN:SQDG:nitrate transmembrane transport; LIN:SQDG:nitrate transmembrane transporter activity; LIN:SQDG:transmembrane transporter activity
SORBI_3001G357700	Amino acid permease_ SLC12A domain-containing protein	transport	CTL	MF	TG	3	5.253493e-10	0.435	2.0	14	yes	1	1	64746396	EXPRESSED PROTEIN (PTHR45826:SF22)	CTL:TG:transmembrane transporter activity
SORBI_3008G015800	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	MF	TG	3	1.605798e-09	0.679	1.9	20	yes	1	8	1301968	MAJOR FACILITATOR SUPERFAMILY (MFS) PROFILE DOMAIN-CONTAINING PROTEIN (PTHR23504:SF97)	LIN:TG:transmembrane transporter activity
SORBI_3006G130700	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL	MF	TG	3	1.681835e-09	1.0	2.0	14	yes	1	6	49487848	OS04G0491350 PROTEIN (PTHR11654:SF109)	CTL:TG:transmembrane transporter activity
SORBI_3007G162400	ABC transporter domain-containing protein	transport	LIN	BP	FA	2	7.157958e-15	0.616	1.7	22	yes	1	7	59653952	ABC TRANSPORTER G FAMILY MEMBER 8 (PTHR48041:SF27)	LIN:FA:transmembrane transport
SORBI_3004G089200	ABC transporter domain-containing protein	transport	LIN	MF	TG	2	9.706966e-14	1.0	14.5	1	single locus	1	4	7562004	ABC TRANSPORTER DOMAIN-CONTAINING PROTEIN (PTHR19229:SF127)	LIN:TG:lipid transporter activity
SORBI_3004G089400	ABC transporter domain-containing protein	transport	LIN	MF	TG	2	9.706966e-14	1.0	14.5	1	single locus	1	4	7586606	ABC TRANSPORTER DOMAIN-CONTAINING PROTEIN (PTHR19229:SF213)	LIN:TG:lipid transporter activity
SORBI_3004G089300	ABC transporter domain-containing protein	transport	LIN	MF	TG	2	7.060457e-13	1.0	14.5	1	single locus	1	4	7572387	ABC TRANSPORTER DOMAIN-CONTAINING PROTEIN (PTHR19229:SF212)	LIN:TG:lipid transporter activity
SORBI_3001G403700	Mitochondrial carrier protein	transport	LIN	BP	FA	2	1.716327e-11	0.774	1.7	22	yes	1	1	68883407	MITOCHONDRIAL SUBSTRATE CARRIER FAMILY PROTEIN (PTHR45758:SF11)	LIN:FA:transmembrane transport
SORBI_3009G084400	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	MF	TG	2	5.217834e-11	0.927	1.9	20	yes	1	9	13444431	POLYOL TRANSPORTER 5-LIKE (PTHR23500:SF519)	LIN:TG:transmembrane transporter activity
SORBI_3002G185300	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP/MF	FA/TG	2	5.881396e-11	0.512	2.2	22	yes	4	2	56954913	MAJOR FACILITATOR SUPERFAMILY PROTEIN (PTHR23505:SF52)	LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:TG:transmembrane transporter activity
SORBI_3001G128300	Chloride channel protein	transport	LIN	MF	TG	2	2.340595e-10	0.988	1.9	20	yes	1	1	10096139	H(+)_CL(-) EXCHANGE TRANSPORTER 7 (PTHR11689:SF136)	LIN:TG:transmembrane transporter activity
SORBI_3002G185400	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	BP/MF	FA	1	5.881396e-11	0.512	2.2	22	yes	3	2	56961379	OS09G0371400 PROTEIN (PTHR23505:SF62)	LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity
SORBI_3003G122300	Envelope ADP,ATP carrier protein, chloroplastic	transport	LIN	BP	FA	1	1.921e-10	0.697	1.7	22	yes	1	3	11133615	ENVELOPE ADP,ATP CARRIER PROTEIN, CHLOROPLASTIC-RELATED (PTHR24089:SF676)	LIN:FA:transmembrane transport
SORBI_3009G235900	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL	MF	TG	1	1.01332e-09	0.548	2.0	14	yes	1	9	57473771	GH07001P-RELATED (PTHR48021:SF1)	CTL:TG:transmembrane transporter activity
SORBI_3009G083300	ABC transporter domain-containing protein	transport	LIN	MF	TG	1	1.240725e-09	0.599	1.9	20	yes	1	9	12573404	ABC TRANSPORTER G FAMILY MEMBER 12 (PTHR48042:SF18)	LIN:TG:transmembrane transporter activity
SORBI_3002G245300	Tonoplast dicarboxylate transporter	transport	CTL	MF	TG	1	3.681911e-09	0.596	2.0	14	yes	1	2	63378457	TONOPLAST DICARBOXYLATE TRANSPORTER (PTHR10283:SF129)	CTL:TG:transmembrane transporter activity
SORBI_3002G245400	Tonoplast dicarboxylate transporter	transport	CTL	MF	TG	1	3.681911e-09	0.407	2.0	14	yes	1	2	63384401	SOLUTE CARRIER FAMILY 13 MEMBER 2 (PTHR10283:SF82)	CTL:TG:transmembrane transporter activity
SORBI_3008G015700	Major facilitator superfamily (MFS) profile domain-containing protein	transport	LIN	MF	TG	1	4.124528e-09	0.679	1.9	20	yes	1	8	1293471	MAJOR FACILITATOR SUPERFAMILY (MFS) PROFILE DOMAIN-CONTAINING PROTEIN (PTHR23504:SF15)	LIN:TG:transmembrane transporter activity
SORBI_3009G049900	Major facilitator superfamily (MFS) profile domain-containing protein	transport	CTL	MF	TG	1	6.848356e-09	0.402	2.0	14	yes	1	9	4996221		CTL:TG:transmembrane transporter activity
SORBI_3009G088200	Sugar phosphate transporter domain-containing protein	transport	CTL	MF	TG	1	7.213869e-09	0.781	2.0	14	yes	1	9	15253701	TRIOSE PHOSPHATE_PHOSPHATE TRANSLOCATOR TPT, CHLOROPLASTIC (PTHR11132:SF269)	CTL:TG:transmembrane transporter activity
SORBI_3002G374200	DNA-directed RNA polymerase subunit		CTL	MF	DG/DGDG/FA/GalCer/MG/MGDG/SQDG	56	1.590391e-11	0.686	4.1	8	yes	7	2	73204682	DNA-DIRECTED RNA POLYMERASE SUBUNIT (PTHR11239:SF16)	CTL:DG:zinc ion binding; CTL:DGDG:zinc ion binding; CTL:FA:zinc ion binding; CTL:GalCer:zinc ion binding; CTL:MG:zinc ion binding; CTL:MGDG:zinc ion binding; CTL:SQDG:zinc ion binding
SORBI_3009G153400	Dof zinc finger protein		CTL	MF	DG/DGDG/FA/GalCer/MG/MGDG/SQDG	53	4.936576e-11	0.415	4.1	8	yes	7	9	50971939	DOF ZINC FINGER PROTEIN (PTHR31992:SF321)	CTL:DG:zinc ion binding; CTL:DGDG:zinc ion binding; CTL:FA:zinc ion binding; CTL:GalCer:zinc ion binding; CTL:MG:zinc ion binding; CTL:MGDG:zinc ion binding; CTL:SQDG:zinc ion binding
SORBI_3010G150575	Small ribosomal subunit protein uS5 C-terminal domain-containing protein		CTL/LIN	MF	SQDG/TG	34	1.414455e-18	1.0	2.2	23	yes	2	10	43378469	RIBOSOMAL PROTEIN S2, PUTATIVE, EXPRESSED-RELATED (PTHR13718:SF118)	CTL:TG:mRNA binding; LIN:SQDG:mRNA binding
SORBI_3002G221400	C2H2-type domain-containing protein		CTL	MF	DG/DGDG/GalCer/MG/MGDG/SQDG	22	7.642133e-27	0.455	3.9	8	yes	6	2	61333318	PROTEIN SHOOT GRAVITROPISM 5 (PTHR10593:SF168)	CTL:DG:zinc ion binding; CTL:DGDG:zinc ion binding; CTL:GalCer:zinc ion binding; CTL:MG:zinc ion binding; CTL:MGDG:zinc ion binding; CTL:SQDG:zinc ion binding
SORBI_3004G007500	Uncharacterized protein		LIN	MF	PA	20	2.605726e-21	0.982	7.1	4	yes	1	4	665105	INACTIVE LINOLENATE HYDROPEROXIDE LYASE-RELATED (PTHR24286:SF49)	LIN:PA:iron ion binding
SORBI_3003G088800	Plastocyanin-like domain-containing protein		LIN	BP	SQDG	19	4.464413e-20	1.0	17.4	2	single locus	1	3	7729188	MULTICOPPER OXIDASE LPR1 (PTHR11709:SF2)	LIN:SQDG:cellular response to phosphate starvation
SORBI_3003G088900	Plastocyanin-like domain-containing protein		LIN	BP	SQDG	19	4.464413e-20	1.0	17.4	2	single locus	1	3	7737004	MULTICOPPER OXIDASE LPR1 HOMOLOG 1 (PTHR11709:SF340)	LIN:SQDG:cellular response to phosphate starvation
SORBI_3001G012600	Protein DETOXIFICATION		LIN	BP/MF	FA/SQDG/TG	13	4.240237e-13	1.0	3.4	22	yes	5	1	1173739	PROTEIN DETOXIFICATION (PTHR11206:SF301)	LIN:FA:transmembrane transport; LIN:FA:transmembrane transporter activity; LIN:SQDG:transmembrane transporter activity; LIN:TG:transmembrane transporter activity
