"Condition","Theme","GeneID","GeneName","Family_SubFamily","Protein_class","GO_MF","GO_BP","Best_P_Value","Max_N_Phenotypes","TraitLayers"
"CTL","Lipid metabolism and transport","SORBI_3002G357600","Fungal lipase-like domain-containing protein","OS07G0586800 PROTEIN (PTHR31479:SF6)","hydrolase(PC00121)",NA,NA,1.12e-10,52,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G375900","glycerophosphodiester phosphodiesterase","GLYCEROPHOSPHODIESTER PHOSPHODIESTERASE (PTHR43620:SF6)","phosphodiesterase(PC00185)","phosphoric diester hydrolase activity(GO:0008081);glycerophosphodiester phosphodiesterase activity(GO:0008889);hydrolase activity(GO:0016787)","glycerol metabolic process(GO:0006071);lipid metabolic process(GO:0006629)",2.69e-11,50,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G037200","Uncharacterized protein","OS10G0402400 PROTEIN (PTHR31625:SF46)",NA,"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",NA,9.69e-12,49,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G357700","Phospholipid-transporting ATPase","PHOSPHOLIPID-TRANSPORTING ATPASE (PTHR24092:SF19)","primary active transporter(PC00068)","nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872);ATPase-coupled intramembrane lipid transporter activity(GO:0140326)","phospholipid transport(GO:0015914);phospholipid translocation(GO:0045332)",1.12e-10,49,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G341600","Serine aminopeptidase S33 domain-containing protein","ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN (PTHR11614:SF20)","phospholipase(PC00186)","lipase activity(GO:0016298)",NA,6e-10,49,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G401900","Phospholipase A2 domain-containing protein","PHOSPHOLIPASE A2 FAMILY PROTEIN (PTHR37246:SF1)",NA,"phospholipase A2 activity(GO:0004623)","phospholipid metabolic process(GO:0006644);arachidonate secretion(GO:0050482)",5.81e-10,43,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G026300","Uncharacterized protein","OS12G0134700 PROTEIN (PTHR31642:SF151)","acetyltransferase(PC00038)","transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",NA,2.15e-10,42,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G027100","GDSL esterase_lipase","GDSL ESTERASE_LIPASE (PTHR22835:SF549)",NA,"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",NA,2.15e-10,42,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G409000","GDSL esterase_lipase","GDSL ESTERASE_LIPASE (PTHR45648:SF1)","lipase(PC00143)","hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)","lipid catabolic process(GO:0016042)",9.92e-11,40,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G407300","Uncharacterized protein","NAD(P)-BINDING ROSSMANN-FOLD SUPERFAMILY PROTEIN (PTHR43180:SF28)","reductase(PC00198)","oxidoreductase activity(GO:0016491)","lipid metabolic process(GO:0006629)",8.49e-10,39,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G113300","Protein TRIGALACTOSYLDIACYLGLYCEROL 4, chloroplastic","PROTEIN TRIGALACTOSYLDIACYLGLYCEROL 4, CHLOROPLASTIC (PTHR34954:SF4)",NA,"protein homodimerization activity(GO:0042803);phosphatidic acid binding(GO:0070300)","acylglycerol transport(GO:0034196);ER to chloroplast lipid transport(GO:1990052)",4.47e-10,37,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3009G226600","Uncharacterized protein","WAX ESTER SYNTHASE_DIACYLGLYCEROL ACYLTRANSFERASE 4-RELATED (PTHR31650:SF1)","acyltransferase(PC00042)","diacylglycerol O-acyltransferase activity(GO:0004144);O-acyltransferase activity(GO:0008374);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747);long-chain-alcohol O-fatty-acyltransferase activity(GO:0047196)","triglyceride biosynthetic process(GO:0019432);glycerolipid biosynthetic process(GO:0045017)",2.33e-14,34,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G033100","Long-chain-fatty-acid--CoA ligase","AMP-BINDING DOMAIN-CONTAINING PROTEIN-RELATED (PTHR43272:SF33)","ligase(PC00142)","nucleotide binding(GO:0000166);long-chain fatty acid-CoA ligase activity(GO:0004467);ATP binding(GO:0005524);4-coumarate-CoA ligase activity(GO:0016207);ligase activity(GO:0016874);trans-cinnamate-CoA ligase activity(GO:0106290)","long-chain fatty acid metabolic process(GO:0001676);lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);phenylpropanoid metabolic process(GO:0009698)",1.95e-10,29,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G138500","Aspartic proteinase","OS01G0290000 PROTEIN (PTHR47966:SF28)","aspartic protease(PC00053)","aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787)","proteolysis(GO:0006508);lipid metabolic process(GO:0006629)",2.27e-10,28,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G153500","Alpha-L-fucosidase 2","GDSL ESTERASE_LIPASE LIP-4 (PTHR22835:SF244)",NA,"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",NA,2.24e-10,26,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3001G170500","Lipase-like protein","OS03G0606100 PROTEIN (PTHR31300:SF23)","lipase(PC00143)",NA,NA,4.44e-10,26,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3006G040500","Phospholipid-transporting ATPase","PHOSPHOLIPID-TRANSPORTING ATPASE (PTHR24092:SF199)","primary active transporter(PC00068)","nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872);ATPase-coupled intramembrane lipid transporter activity(GO:0140326)","phospholipid transport(GO:0015914);phospholipid translocation(GO:0045332)",1.67e-09,26,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G374600","beta-ketoacyl-[acyl-carrier-protein] synthase I","BETA-KETOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE I (PTHR11712:SF358)",NA,"3-oxoacyl-[acyl-carrier-protein] synthase activity(GO:0004315);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)","lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);fatty acid biosynthetic process(GO:0006633)",1.48e-09,25,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G129700","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","BIFUNCTIONAL INHIBITOR_PLANT LIPID TRANSFER PROTEIN_SEED STORAGE HELICAL DOMAIN-CONTAINING PROTEIN (PTHR33044:SF239)",NA,NA,NA,1.66e-12,24,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G129800","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","BIFUNCTIONAL INHIBITOR_PLANT LIPID TRANSFER PROTEIN_SEED STORAGE HELICAL DOMAIN-CONTAINING PROTEIN (PTHR33044:SF245)",NA,NA,NA,1.66e-12,24,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G130000","Alkyl transferase","ALKYL TRANSFERASE (PTHR10291:SF27)","acyltransferase(PC00042)","transferase activity(GO:0016740);transferase activity, transferring alkyl or aryl (other than methyl) groups(GO:0016765);ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyl diphosphate specific] activity(GO:0045547)","polyprenol biosynthetic process(GO:0016094)",1.66e-12,24,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G394000","GDSL esterase_lipase","GDSL ESTERASE_LIPASE (PTHR22835:SF554)",NA,"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",NA,1.35e-09,24,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G394100","GDSL esterase_lipase","OS07G0642200 PROTEIN (PTHR22835:SF235)",NA,"lipase activity(GO:0016298);hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)","lipid metabolic process(GO:0006629)",1.35e-09,24,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3009G207100","Uncharacterized protein","ENOYL-COA HYDRATASE_ISOMERASE FAMILY PROTEIN (PTHR11941:SF75)","hydratase(PC00120)","delta(3)-delta(2)-enoyl-CoA isomerase activity(GO:0004165)","lipid metabolic process(GO:0006629);fatty acid beta-oxidation(GO:0006635);fatty acid catabolic process(GO:0009062)",2.26e-11,22,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3006G019700","Uncharacterized protein","OS04G0194466 PROTEIN (PTHR31147:SF8)","transferase(PC00220)","acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",NA,1.38e-09,22,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3001G264500","3-ketoacyl-CoA synthase","3-KETOACYL-COA SYNTHASE (PTHR31561:SF189)",NA,"fatty acid elongase activity(GO:0009922);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)","fatty acid biosynthetic process(GO:0006633)",1.09e-10,21,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G383900","aldehyde oxygenase (deformylating)","VERY-LONG-CHAIN ALDEHYDE DECARBONYLASE GL1-9 (PTHR11863:SF133)","oxidase(PC00175)","iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);lyase activity(GO:0016829);aldehyde oxygenase (deformylating) activity(GO:0071771)","lipid biosynthetic process(GO:0008610)",3.22e-10,19,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G384300","Uncharacterized protein","TRANSCRIPTION FACTOR MYB124 (PTHR45614:SF76)","homeodomain transcription factor(PC00119)","RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)","regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);megasporogenesis(GO:0009554);response to gravity(GO:0009629);response to hormone(GO:0009725);guard cell differentiation(GO:0010052);guard mother cell cytokinesis(GO:0010235);stomatal complex formation(GO:0010376);guard mother cell differentiation(GO:0010444);regulation of DNA endoreduplication(GO:0032875);response to lipid(GO:0033993);root development(GO:0048364);multicellular organismal-level water homeostasis(GO:0050891);positive regulation of response to salt stress(GO:1901002);positive regulation of lateral root development(GO:1901333);positive regulation of response to water deprivation(GO:1902584);regulation of cell cycle G1/S phase transition(GO:1902806);regulation of stomatal complex patterning(GO:2000037)",3.22e-10,19,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G048500","DUF676 domain-containing protein","OS11G0167500 PROTEIN (PTHR12482:SF46)",NA,NA,"lipid metabolic process(GO:0006629)",1.63e-09,17,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G229000","Cytochrome P450","OS01G0628900 PROTEIN (PTHR24282:SF171)","oxygenase(PC00177)","monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)","lipid metabolic process(GO:0006629)",6.43e-11,16,"Individual;SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G229100","Cytochrome P450","CYTOCHROME P450 72A15 (PTHR24282:SF127)","oxygenase(PC00177)","monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)","lipid metabolic process(GO:0006629)",6.43e-11,16,"Individual;SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3009G062600","Phospholipase D","PHOSPHOLIPASE D (PTHR18896:SF67)","phospholipase(PC00186)","catalytic activity(GO:0003824);phospholipase D activity(GO:0004630);calcium ion binding(GO:0005509);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)","lipid metabolic process(GO:0006629);phospholipid catabolic process(GO:0009395);lipid catabolic process(GO:0016042);phosphatidylcholine metabolic process(GO:0046470)",2.14e-10,15,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G360500","Lipase-like protein","OS07G0591100 PROTEIN (PTHR31300:SF5)","lipase(PC00143)",NA,NA,1.62e-09,15,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3004G119100","OPA3-like protein","OS02G0312500 PROTEIN (PTHR12499:SF22)",NA,NA,"regulation of lipid metabolic process(GO:0019216)",1.47e-09,14,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3009G204200","Tyrosine specific protein phosphatases domain-containing protein","OS05G0524200 PROTEIN (PTHR46274:SF11)",NA,"phosphoprotein phosphatase activity(GO:0004721);phosphatidylglycerophosphatase activity(GO:0008962);hydrolase activity(GO:0016787)","lipid metabolic process(GO:0006629);phospholipid biosynthetic process(GO:0008654);root development(GO:0048364)",1.83e-09,14,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3010G142900","Oleosin","OS06G0473800 PROTEIN (PTHR33203:SF56)",NA,NA,"post-embryonic development(GO:0009791);seed oilbody biogenesis(GO:0010344);lipid storage(GO:0019915);reproductive structure development(GO:0048608);response to freezing(GO:0050826)",1.03e-09,13,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3001G269200","Uncharacterized protein","GDSL-LIKE LIPASE_ACYLHYDROLASE FAMILY PROTEIN, EXPRESSED (PTHR45642:SF17)","hydrolase(PC00121)","lipase activity(GO:0016298);hydrolase activity, acting on ester bonds(GO:0016788)","lipid metabolic process(GO:0006629)",8.07e-11,12,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3001G206000","Phospholipid_glycerol acyltransferase domain-containing protein","1-ACYL-SN-GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE LPAT1, CHLOROPLASTIC (PTHR10434:SF60)","acyltransferase(PC00042)","1-acylglycerol-3-phosphate O-acyltransferase activity(GO:0003841);transferase activity(GO:0016740);acyltransferase activity(GO:0016746)","phosphatidic acid biosynthetic process(GO:0006654)",2.56e-12,11,"Individual"
"CTL","Lipid metabolism and transport","SORBI_3010G134400","Acyltransferase","ACYLTRANSFERASE (PTHR12317:SF75)","acyltransferase(PC00042)","diacylglycerol O-acyltransferase activity(GO:0004144);O-acyltransferase activity(GO:0008374);transferase activity(GO:0016740);acyltransferase activity(GO:0016746)","lipid metabolic process(GO:0006629);triglyceride biosynthetic process(GO:0019432)",2.9e-09,11,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G085800","START domain-containing protein","START DOMAIN-CONTAINING PROTEIN (PTHR19308:SF14)",NA,"lipid binding(GO:0008289)",NA,1.17e-13,10,"Individual"
"CTL","Lipid metabolism and transport","SORBI_3002G041900","Uncharacterized protein","PHENOLIC GLUCOSIDE MALONYLTRANSFERASE 2 (PTHR31625:SF84)",NA,"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",NA,7.59e-12,10,"Individual"
"CTL","Lipid metabolism and transport","SORBI_3002G422200","AB hydrolase-1 domain-containing protein","LYSOPHOSPHOLIPASE BODYGUARD 4-RELATED (PTHR43689:SF14)","serine protease(PC00203)","hydrolase activity(GO:0016787)",NA,2.55e-09,10,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G002700","Fatty acid desaturase DES3","FATTY ACID DESATURASE DES3 (PTHR32100:SF65)",NA,"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water(GO:0016717);omega-3 fatty acid desaturase activity(GO:0042389);acyl-CoA 15-desaturase activity(GO:0102988)","lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);fatty acid biosynthetic process(GO:0006633);unsaturated fatty acid biosynthetic process(GO:0006636)",5.21e-10,9,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G002800","Fatty acid desaturase domain-containing protein","FATTY ACID DESATURASE DES3 (PTHR32100:SF65)",NA,"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water(GO:0016717);omega-3 fatty acid desaturase activity(GO:0042389)","lipid metabolic process(GO:0006629);unsaturated fatty acid biosynthetic process(GO:0006636)",5.21e-10,9,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G367000","glycerophosphodiester phosphodiesterase","GLYCEROPHOSPHODIESTER PHOSPHODIESTERASE (PTHR43620:SF4)","phosphodiesterase(PC00185)","phosphoric diester hydrolase activity(GO:0008081);glycerophosphodiester phosphodiesterase activity(GO:0008889);hydrolase activity(GO:0016787)","glycerol metabolic process(GO:0006071);lipid metabolic process(GO:0006629)",7.48e-10,9,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3003G106300","EXPERA domain-containing protein","3-BETA-HYDROXYSTEROID-DELTA(8)DELTA(7)-ISOMERASE-RELATED (PTHR14207:SF6)","isomerase(PC00135)","C-8 sterol isomerase activity(GO:0000247);steroid Delta-isomerase activity(GO:0004769);cholestenol delta-isomerase activity(GO:0047750)","sterol metabolic process(GO:0016125);sterol biosynthetic process(GO:0016126)",1.39e-09,9,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3006G248000","Uncharacterized protein","OS04G0657100 PROTEIN (PTHR11525:SF14)","acyltransferase(PC00042)","dimethylallyltranstransferase activity(GO:0004161);(2E,6E)-farnesyl diphosphate synthase activity(GO:0004337);prenyltransferase activity(GO:0004659);transferase activity(GO:0016740);transferase activity, transferring alkyl or aryl (other than methyl) groups(GO:0016765);metal ion binding(GO:0046872)","isoprenoid biosynthetic process(GO:0008299);farnesyl diphosphate biosynthetic process(GO:0045337)",6.02e-13,8,"Individual"
"CTL","Lipid metabolism and transport","SORBI_3006G248100","Fungal lipase-like domain-containing protein","OS04G0657500 PROTEIN (PTHR46086:SF18)","hydrolase(PC00121)","triacylglycerol lipase activity(GO:0004806)","lipid metabolic process(GO:0006629)",6.02e-13,8,"Individual"
"CTL","Lipid metabolism and transport","SORBI_3006G248300","Lipoxygenase","LIPOXYGENASE (PTHR11771:SF200)","oxygenase(PC00177)","oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(GO:0016702);metal ion binding(GO:0046872);dioxygenase activity(GO:0051213)","lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);fatty acid biosynthetic process(GO:0006633);oxylipin biosynthetic process(GO:0031408);lipid oxidation(GO:0034440)",6.02e-13,8,"Individual"
"CTL","Lipid metabolism and transport","SORBI_3010G139500","Phospholipid-transporting ATPase","PHOSPHOLIPID-TRANSPORTING ATPASE (PTHR24092:SF219)","primary active transporter(PC00068)","nucleotide binding(GO:0000166);magnesium ion binding(GO:0000287);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872);ATPase-coupled intramembrane lipid transporter activity(GO:0140326)","phospholipid transport(GO:0015914);phospholipid translocation(GO:0045332)",1.15e-10,8,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G006701","Serine incorporator","SERINC-DOMAIN CONTAINING SERINE AND SPHINGOLIPID BIOSYNTHESIS PROTEIN (PTHR10383:SF44)","protein-binding activity modulator(PC00095)",NA,NA,1.47e-09,8,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G393600","GDSL esterase_lipase","OS07G0642200 PROTEIN (PTHR22835:SF235)",NA,"lipase activity(GO:0016298);hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)","lipid metabolic process(GO:0006629)",2.54e-09,7,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G393700","Synaptotagmin-5","LIPID BINDING PROTEIN (PTHR10774:SF203)","membrane trafficking regulatory protein(PC00151)","lipid binding(GO:0008289);metal ion binding(GO:0046872)","lipid transport(GO:0006869)",2.54e-09,7,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G030400","Uncharacterized protein","3BETA,22ALPHA-DIHYDROXYSTEROID 3-DEHYDROGENASE (PTHR24286:SF44)","oxygenase(PC00177)","monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872);fatty acid 2-hydroxylase activity(GO:0080132)","brassinosteroid homeostasis(GO:0010268);brassinosteroid biosynthetic process(GO:0016132)",2.62e-09,7,"Individual"
"CTL","Lipid metabolism and transport","SORBI_3002G165500","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","OS09G0309600 PROTEIN (PTHR34377:SF4)",NA,NA,NA,1.48e-09,6,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3009G151400","S-acyltransferase","PALMITOYLTRANSFERASE APP (PTHR22883:SF43)","protein modifying enzyme(PC00260)","palmitoyltransferase activity(GO:0016409);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);protein-cysteine S-palmitoyltransferase activity(GO:0019706)","protein targeting to membrane(GO:0006612)",2.19e-09,6,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3010G256100","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","OS06G0705400 PROTEIN (PTHR33214:SF43)",NA,"lipid binding(GO:0008289)","lipid transport(GO:0006869)",1.35e-09,5,"Individual"
"CTL","Lipid metabolism and transport","SORBI_3009G180300","Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein","OS06G0682750 PROTEIN (PTHR33044:SF35)",NA,NA,NA,3.42e-09,5,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3002G164900","SGNH hydrolase-type esterase domain-containing protein","GDSL ESTERASE_LIPASE CPRD49 (PTHR14209:SF9)","esterase(PC00097)","hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",NA,4.93e-09,5,"SumRatio"
"CTL","Lipid metabolism and transport","SORBI_3005G102100","Chalcone synthase","OS04G0103900 PROTEIN (PTHR11877:SF49)","transferase(PC00220)","transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)","pollen wall assembly(GO:0010208);polyketide biosynthetic process(GO:0030639)",8.65e-10,4,"SumRatio"
